,prices,market_caps,total_volumes
0,"[1721347200000, 0.99948]","[1721347200000, 113573131359.29312]","[1721347200000, 39289247477.077324]"
1,"[1721433600000, 1.00045]","[1721433600000, 113747016526.27437]","[1721433600000, 50719521972.03306]"
2,"[1721520000000, 1.00036]","[1721520000000, 113925014705.46246]","[1721520000000, 30224251985.548214]"
3,"[1721606400000, 1.00067]","[1721606400000, 114040029468.1858]","[1721606400000, 42649591757.95112]"
4,"[1721692800000, 1.00046]","[1721692800000, 114112099009.7814]","[1721692800000, 38644015908.25626]"
5,"[1721779200000, 1.00015]","[1721779200000, 114269399245.478]","[1721779200000, 62065120316.854485]"
6,"[1721865600000, 1.00005]","[1721865600000, 114419293392.97034]","[1721865600000, 46390952217.8828]"
7,"[1721952000000, 0.99982]","[1721952000000, 114381082813.50742]","[1721952000000, 46497263779.15064]"
8,"[1722038400000, 1.00015]","[1722038400000, 114301106013.43555]","[1722038400000, 44904571679.14791]"
9,"[1722124800000, 1.00002]","[1722124800000, 114323274523.11798]","[1722124800000, 40127656217.77788]"
10,"[1722211200000, 1.00017]","[1722211200000, 114436762854.19614]","[1722211200000, 26841500104.986618]"
11,"[1722297600000, 1.00005]","[1722297600000, 114423843424.0103]","[1722297600000, 57812247155.517784]"
12,"[1722384000000, 0.99969]","[1722384000000, 114429758402.69632]","[1722384000000, 25410424388.074238]"
13,"[1722470400000, 0.99993]","[1722470400000, 114343128199.69716]","[1722470400000, 46112131810.015526]"
14,"[1722556800000, 0.99921]","[1722556800000, 114422514458.41356]","[1722556800000, 52804343957.44621]"
15,"[1722643200000, 0.99865]","[1722643200000, 114339047195.47589]","[1722643200000, 53556320077.208786]"
16,"[1722729600000, 0.99953]","[1722729600000, 114467573236.0355]","[1722729600000, 42795668912.55556]"
17,"[1722816000000, 0.99833]","[1722816000000, 114321354116.66292]","[1722816000000, 31708905886.721657]"
18,"[1722902400000, 0.99834]","[1722902400000, 114273868572.97675]","[1722902400000, 142007528296.11038]"
19,"[1722988800000, 0.9998]","[1722988800000, 114449569879.83371]","[1722988800000, 77801860523.48775]"
20,"[1723075200000, 0.99998]","[1723075200000, 114697495372.16809]","[1723075200000, 67657578689.02249]"
21,"[1723161600000, 1.00093]","[1723161600000, 114970432933.55519]","[1723161600000, 58004219782.41032]"
22,"[1723248000000, 1.00243]","[1723248000000, 115453319573.63643]","[1723248000000, 47994841969.53526]"
23,"[1723334400000, 1.00017]","[1723334400000, 115682732676.35165]","[1723334400000, 23762254605.212345]"
24,"[1723420800000, 1.00067]","[1723420800000, 115569651109.11028]","[1723420800000, 36552652812.04151]"
25,"[1723507200000, 1.00014]","[1723507200000, 115615435596.80666]","[1723507200000, 54903256228.77014]"
26,"[1723593600000, 1.00088]","[1723593600000, 115768698244.9125]","[1723593600000, 47503291528.0233]"
27,"[1723680000000, 1.00004]","[1723680000000, 116190571128.30977]","[1723680000000, 47621751537.924545]"
28,"[1723766400000, 1.00009]","[1723766400000, 116521301017.53625]","[1723766400000, 47577105225.76945]"
29,"[1723852800000, 0.9998]","[1723852800000, 116732851982.2746]","[1723852800000, 43714130658.03507]"
30,"[1723879192000, 1.00026]","[1723879192000, 116872138756.02827]","[1723879192000, 33685721424.092583]"
