,prices
0,"[1692748800000, 10.12465]"
1,"[1692835200000, 10.34829]"
2,"[1692921600000, 10.1128]"
3,"[1693008000000, 10.06]"
4,"[1693094400000, 10.09341]"
5,"[1693180800000, 10.19343]"
6,"[1693267200000, 10.37005]"
7,"[1693353600000, 10.80813]"
8,"[1693440000000, 10.40481]"
9,"[1693526400000, 9.98092]"
10,"[1693612800000, 9.92384]"
11,"[1693699200000, 9.90567]"
12,"[1693785600000, 9.88674]"
13,"[1693872000000, 9.80292]"
14,"[1693958400000, 9.91345]"
15,"[1694044800000, 9.93861]"
16,"[1694131200000, 10.0693]"
17,"[1694217600000, 9.91936]"
18,"[1694304000000, 9.83648]"
19,"[1694390400000, 9.46382]"
20,"[1694476800000, 9.22101]"
21,"[1694563200000, 9.22696]"
22,"[1694649600000, 9.29745]"
23,"[1694736000000, 9.38953]"
24,"[1694822400000, 9.42884]"
25,"[1694908800000, 9.38013]"
26,"[1694995200000, 9.10081]"
27,"[1695081600000, 9.11033]"
28,"[1695168000000, 9.2226]"
29,"[1695254400000, 9.04324]"
30,"[1695340800000, 8.81981]"
31,"[1695427200000, 8.86849]"
32,"[1695513600000, 8.89694]"
33,"[1695600000000, 8.77963]"
34,"[1695686400000, 8.94986]"
35,"[1695772800000, 9.04393]"
36,"[1695859200000, 8.9245]"
37,"[1695945600000, 9.2608]"
38,"[1696032000000, 9.17011]"
39,"[1696118400000, 9.24079]"
40,"[1696204800000, 9.74401]"
41,"[1696291200000, 9.34018]"
42,"[1696377600000, 9.40066]"
43,"[1696464000000, 10.10569]"
44,"[1696550400000, 10.13873]"
45,"[1696636800000, 10.65453]"
46,"[1696723200000, 10.36964]"
47,"[1696809600000, 10.10101]"
48,"[1696896000000, 9.53901]"
49,"[1696982400000, 9.54314]"
50,"[1697068800000, 9.29808]"
51,"[1697155200000, 9.10925]"
52,"[1697241600000, 9.14688]"
53,"[1697328000000, 9.1487]"
54,"[1697414400000, 9.16625]"
55,"[1697500800000, 9.41922]"
56,"[1697587200000, 9.11139]"
57,"[1697673600000, 8.91137]"
58,"[1697760000000, 9.06742]"
59,"[1697846400000, 9.22566]"
60,"[1697932800000, 9.6328]"
61,"[1698019200000, 10.06527]"
62,"[1698105600000, 10.55071]"
63,"[1698192000000, 10.32004]"
64,"[1698278400000, 10.50025]"
65,"[1698364800000, 11.07665]"
66,"[1698451200000, 10.59451]"
67,"[1698537600000, 10.95892]"
68,"[1698624000000, 11.3697]"
69,"[1698710400000, 11.44916]"
70,"[1698796800000, 11.32373]"
71,"[1698883200000, 12.20056]"
72,"[1698969600000, 11.8845]"
73,"[1699056000000, 12.12695]"
74,"[1699142400000, 12.22044]"
75,"[1699228800000, 12.37406]"
76,"[1699315200000, 13.0692]"
77,"[1699401600000, 12.8181]"
78,"[1699488000000, 13.03639]"
79,"[1699574400000, 12.98415]"
80,"[1699660800000, 14.80145]"
81,"[1699747200000, 16.72932]"
82,"[1699833600000, 18.80993]"
83,"[1699920000000, 16.26464]"
84,"[1700006400000, 17.11765]"
85,"[1700092800000, 20.70388]"
86,"[1700179200000, 21.62041]"
87,"[1700265600000, 21.90884]"
88,"[1700352000000, 21.98552]"
89,"[1700438400000, 22.80712]"
90,"[1700524800000, 20.80871]"
91,"[1700611200000, 19.11271]"
92,"[1700697600000, 20.81757]"
93,"[1700784000000, 20.66343]"
94,"[1700870400000, 20.88876]"
95,"[1700956800000, 21.28508]"
96,"[1701043200000, 21.13467]"
97,"[1701129600000, 20.38529]"
98,"[1701216000000, 20.63607]"
99,"[1701302400000, 21.03855]"
100,"[1701388800000, 21.38247]"
101,"[1701475200000, 21.84684]"
102,"[1701561600000, 22.21775]"
103,"[1701648000000, 21.95738]"
104,"[1701734400000, 22.5156]"
105,"[1701820800000, 24.40295]"
106,"[1701907200000, 26.24495]"
107,"[1701993600000, 26.26382]"
108,"[1702080000000, 30.67543]"
109,"[1702166400000, 31.76423]"
110,"[1702252800000, 37.03104]"
111,"[1702339200000, 38.20005]"
112,"[1702425600000, 37.39912]"
113,"[1702512000000, 38.98978]"
114,"[1702598400000, 39.24629]"
115,"[1702684800000, 39.95472]"
116,"[1702771200000, 41.98775]"
117,"[1702857600000, 40.70803]"
118,"[1702944000000, 41.0195]"
119,"[1703030400000, 39.72643]"
120,"[1703116800000, 43.38272]"
121,"[1703203200000, 46.05434]"
122,"[1703289600000, 45.49566]"
123,"[1703376000000, 48.11441]"
124,"[1703462400000, 47.79084]"
125,"[1703548800000, 48.35953]"
126,"[1703635200000, 44.2548]"
127,"[1703721600000, 42.39818]"
128,"[1703808000000, 39.86732]"
129,"[1703894400000, 40.20499]"
130,"[1703980800000, 39.42622]"
131,"[1704067200000, 38.53879]"
132,"[1704153600000, 41.94535]"
133,"[1704240000000, 40.74014]"
134,"[1704326400000, 36.75245]"
135,"[1704412800000, 38.68112]"
136,"[1704499200000, 36.38474]"
137,"[1704585600000, 34.55597]"
138,"[1704672000000, 33.57146]"
139,"[1704758400000, 36.06006]"
140,"[1704844800000, 34.67477]"
141,"[1704931200000, 38.53461]"
142,"[1705017600000, 39.32511]"
143,"[1705104000000, 35.87103]"
144,"[1705190400000, 36.44188]"
145,"[1705276800000, 35.39769]"
146,"[1705363200000, 35.63209]"
147,"[1705449600000, 35.60992]"
148,"[1705536000000, 35.94181]"
149,"[1705622400000, 33.53956]"
150,"[1705708800000, 32.63144]"
151,"[1705795200000, 32.81807]"
152,"[1705881600000, 32.56396]"
153,"[1705968000000, 29.44022]"
154,"[1706054400000, 30.52631]"
155,"[1706140800000, 31.20413]"
156,"[1706227200000, 30.46226]"
157,"[1706313600000, 32.27329]"
158,"[1706400000000, 33.27007]"
159,"[1706486400000, 34.83787]"
160,"[1706572800000, 36.08626]"
161,"[1706659200000, 35.15735]"
162,"[1706745600000, 33.15444]"
163,"[1706832000000, 33.81734]"
164,"[1706918400000, 36.69565]"
165,"[1707004800000, 35.92797]"
166,"[1707091200000, 34.86083]"
167,"[1707177600000, 34.51116]"
168,"[1707264000000, 34.1647]"
169,"[1707350400000, 35.29003]"
170,"[1707436800000, 35.45433]"
171,"[1707523200000, 38.13801]"
172,"[1707609600000, 40.26149]"
173,"[1707696000000, 39.69931]"
174,"[1707782400000, 41.04676]"
175,"[1707868800000, 39.78511]"
176,"[1707955200000, 42.26983]"
177,"[1708041600000, 41.61142]"
178,"[1708128000000, 40.31533]"
179,"[1708214400000, 39.74129]"
180,"[1708300800000, 40.22851]"
