,prices
0,"[1692662400000, 210.58828]"
1,"[1692748800000, 210.83832]"
2,"[1692835200000, 216.46934]"
3,"[1692921600000, 218.29267]"
4,"[1693008000000, 218.1775]"
5,"[1693094400000, 216.14379]"
6,"[1693180800000, 218.24703]"
7,"[1693267200000, 218.66017]"
8,"[1693353600000, 226.74644]"
9,"[1693440000000, 223.73475]"
10,"[1693526400000, 216.56493]"
11,"[1693612800000, 213.63263]"
12,"[1693699200000, 214.15171]"
13,"[1693785600000, 214.30019]"
14,"[1693872000000, 215.20163]"
15,"[1693958400000, 214.36179]"
16,"[1694044800000, 215.08939]"
17,"[1694131200000, 216.71012]"
18,"[1694217600000, 214.58288]"
19,"[1694304000000, 214.13752]"
20,"[1694390400000, 212.21388]"
21,"[1694476800000, 205.79219]"
22,"[1694563200000, 211.51805]"
23,"[1694649600000, 212.51215]"
24,"[1694736000000, 212.21487]"
25,"[1694822400000, 214.102]"
26,"[1694908800000, 214.87612]"
27,"[1694995200000, 216.50742]"
28,"[1695081600000, 215.88018]"
29,"[1695168000000, 217.16777]"
30,"[1695254400000, 214.18713]"
31,"[1695340800000, 210.6686]"
32,"[1695427200000, 211.05568]"
33,"[1695513600000, 210.46275]"
34,"[1695600000000, 208.14507]"
35,"[1695686400000, 209.98104]"
36,"[1695772800000, 212.32659]"
37,"[1695859200000, 212.00204]"
38,"[1695945600000, 214.92011]"
39,"[1696032000000, 215.14228]"
40,"[1696118400000, 214.69695]"
41,"[1696204800000, 217.96385]"
42,"[1696291200000, 214.82304]"
43,"[1696377600000, 213.57799]"
44,"[1696464000000, 213.35255]"
45,"[1696550400000, 210.81952]"
46,"[1696636800000, 213.5678]"
47,"[1696723200000, 212.3451]"
48,"[1696809600000, 211.56558]"
49,"[1696896000000, 205.69276]"
50,"[1696982400000, 208.66203]"
51,"[1697068800000, 206.51869]"
52,"[1697155200000, 204.99892]"
53,"[1697241600000, 205.81804]"
54,"[1697328000000, 206.54689]"
55,"[1697414400000, 209.67928]"
56,"[1697500800000, 214.89035]"
57,"[1697587200000, 211.61725]"
58,"[1697673600000, 210.40184]"
59,"[1697760000000, 211.29439]"
60,"[1697846400000, 212.21169]"
61,"[1697932800000, 214.22924]"
62,"[1698019200000, 217.9489]"
63,"[1698105600000, 228.24275]"
64,"[1698192000000, 225.09317]"
65,"[1698278400000, 221.94465]"
66,"[1698364800000, 223.09284]"
67,"[1698451200000, 224.31836]"
68,"[1698537600000, 225.70596]"
69,"[1698624000000, 227.18387]"
70,"[1698710400000, 228.18039]"
71,"[1698796800000, 226.56542]"
72,"[1698883200000, 227.87876]"
73,"[1698969600000, 231.82827]"
74,"[1699056000000, 230.75598]"
75,"[1699142400000, 237.29214]"
76,"[1699228800000, 244.32692]"
77,"[1699315200000, 253.40549]"
78,"[1699401600000, 246.19529]"
79,"[1699488000000, 247.3039]"
80,"[1699574400000, 251.36483]"
81,"[1699660800000, 250.93329]"
82,"[1699747200000, 251.59266]"
83,"[1699833600000, 247.73525]"
84,"[1699920000000, 241.35784]"
85,"[1700006400000, 242.14218]"
86,"[1700092800000, 253.64781]"
87,"[1700179200000, 242.8427]"
88,"[1700265600000, 244.28169]"
89,"[1700352000000, 244.8284]"
90,"[1700438400000, 246.2336]"
91,"[1700524800000, 253.37298]"
92,"[1700611200000, 227.95084]"
93,"[1700697600000, 236.08185]"
94,"[1700784000000, 233.74947]"
95,"[1700870400000, 232.86134]"
96,"[1700956800000, 234.23991]"
97,"[1701043200000, 232.07104]"
98,"[1701129600000, 227.22666]"
99,"[1701216000000, 229.52753]"
100,"[1701302400000, 227.19638]"
101,"[1701388800000, 227.60255]"
102,"[1701475200000, 228.451]"
103,"[1701561600000, 229.25865]"
104,"[1701648000000, 227.881]"
105,"[1701734400000, 233.28508]"
106,"[1701820800000, 231.14255]"
107,"[1701907200000, 229.62917]"
108,"[1701993600000, 232.90389]"
109,"[1702080000000, 238.98903]"
110,"[1702166400000, 237.88421]"
111,"[1702252800000, 239.57367]"
112,"[1702339200000, 246.28756]"
113,"[1702425600000, 254.95446]"
114,"[1702512000000, 252.21806]"
115,"[1702598400000, 253.56556]"
116,"[1702684800000, 244.66852]"
117,"[1702771200000, 244.16256]"
118,"[1702857600000, 239.17278]"
119,"[1702944000000, 241.10002]"
120,"[1703030400000, 252.04748]"
121,"[1703116800000, 260.25503]"
122,"[1703203200000, 271.07393]"
123,"[1703289600000, 271.43145]"
124,"[1703376000000, 271.2543]"
125,"[1703462400000, 264.65285]"
126,"[1703548800000, 267.1788]"
127,"[1703635200000, 297.14542]"
128,"[1703721600000, 323.41629]"
129,"[1703808000000, 323.37395]"
130,"[1703894400000, 313.62029]"
131,"[1703980800000, 317.4748]"
132,"[1704067200000, 312.13562]"
133,"[1704153600000, 314.80902]"
134,"[1704240000000, 312.12813]"
135,"[1704326400000, 316.25687]"
136,"[1704412800000, 323.19089]"
137,"[1704499200000, 317.13606]"
138,"[1704585600000, 307.58228]"
139,"[1704672000000, 302.34431]"
140,"[1704758400000, 304.40791]"
141,"[1704844800000, 301.02589]"
142,"[1704931200000, 305.37292]"
143,"[1705017600000, 308.28867]"
144,"[1705104000000, 296.78386]"
145,"[1705190400000, 302.19373]"
146,"[1705276800000, 299.40249]"
147,"[1705363200000, 317.96911]"
148,"[1705449600000, 315.4807]"
149,"[1705536000000, 309.34175]"
150,"[1705622400000, 314.56773]"
151,"[1705708800000, 314.06743]"
152,"[1705795200000, 315.97627]"
153,"[1705881600000, 318.63256]"
154,"[1705968000000, 304.72221]"
155,"[1706054400000, 298.50959]"
156,"[1706140800000, 293.35381]"
157,"[1706227200000, 292.06044]"
158,"[1706313600000, 302.02267]"
159,"[1706400000000, 305.78227]"
160,"[1706486400000, 304.80485]"
161,"[1706572800000, 310.74809]"
162,"[1706659200000, 307.32159]"
163,"[1706745600000, 300.21332]"
164,"[1706832000000, 299.9114]"
165,"[1706918400000, 301.17435]"
166,"[1707004800000, 299.71815]"
167,"[1707091200000, 304.76484]"
168,"[1707177600000, 300.81169]"
169,"[1707264000000, 302.80204]"
170,"[1707350400000, 307.87971]"
171,"[1707436800000, 319.3108]"
172,"[1707523200000, 323.39927]"
173,"[1707609600000, 322.83361]"
174,"[1707696000000, 320.51049]"
175,"[1707782400000, 327.9133]"
176,"[1707868800000, 325.11173]"
177,"[1707955200000, 333.8537]"
178,"[1708041600000, 355.02746]"
179,"[1708128000000, 360.95788]"
180,"[1708214400000, 352.82915]"
181,"[1708300800000, 350.16901]"
182,"[1708387200000, 351.82141]"
183,"[1708473600000, 355.105]"
184,"[1708560000000, 378.9295]"
185,"[1708646400000, 382.1414]"
186,"[1708732800000, 375.42971]"
187,"[1708819200000, 381.92765]"
188,"[1708905600000, 388.56271]"
189,"[1708992000000, 401.21429]"
190,"[1709078400000, 395.05556]"
191,"[1709164800000, 416.25385]"
192,"[1709251200000, 399.7865]"
193,"[1709337600000, 407.34884]"
194,"[1709424000000, 410.83653]"
195,"[1709510400000, 414.19691]"
196,"[1709596800000, 420.00756]"
197,"[1709683200000, 396.65673]"
198,"[1709769600000, 428.80213]"
199,"[1709856000000, 473.46386]"
200,"[1709942400000, 485.30641]"
201,"[1710028800000, 490.13736]"
202,"[1710115200000, 528.9502]"
203,"[1710201600000, 522.84204]"
204,"[1710288000000, 539.40421]"
205,"[1710374400000, 628.45431]"
206,"[1710460800000, 603.26575]"
207,"[1710547200000, 621.6567]"
208,"[1710633600000, 575.43811]"
209,"[1710720000000, 572.02973]"
