,prices
0,"[1692662400000, 185.98107]"
1,"[1692748800000, 184.79943]"
2,"[1692835200000, 193.72124]"
3,"[1692921600000, 194.44598]"
4,"[1693008000000, 191.95695]"
5,"[1693094400000, 190.16455]"
6,"[1693180800000, 197.938]"
7,"[1693267200000, 190.28636]"
8,"[1693353600000, 224.14667]"
9,"[1693440000000, 215.83658]"
10,"[1693526400000, 207.41256]"
11,"[1693612800000, 199.71477]"
12,"[1693699200000, 194.90033]"
13,"[1693785600000, 196.416]"
14,"[1693872000000, 193.64234]"
15,"[1693958400000, 192.04479]"
16,"[1694044800000, 192.98475]"
17,"[1694131200000, 193.20179]"
18,"[1694217600000, 193.11507]"
19,"[1694304000000, 193.066]"
20,"[1694390400000, 190.40686]"
21,"[1694476800000, 183.71912]"
22,"[1694563200000, 198.97973]"
23,"[1694649600000, 199.7673]"
24,"[1694736000000, 207.49421]"
25,"[1694822400000, 217.25687]"
26,"[1694908800000, 214.89562]"
27,"[1694995200000, 209.62842]"
28,"[1695081600000, 217.27855]"
29,"[1695168000000, 219.28288]"
30,"[1695254400000, 215.43641]"
31,"[1695340800000, 208.56777]"
32,"[1695427200000, 207.81489]"
33,"[1695513600000, 208.15773]"
34,"[1695600000000, 204.56971]"
35,"[1695686400000, 210.28015]"
36,"[1695772800000, 214.26322]"
37,"[1695859200000, 228.58379]"
38,"[1695945600000, 239.19021]"
39,"[1696032000000, 235.38288]"
40,"[1696118400000, 234.41443]"
41,"[1696204800000, 242.30747]"
42,"[1696291200000, 247.12793]"
43,"[1696377600000, 229.89196]"
44,"[1696464000000, 233.599]"
45,"[1696550400000, 231.49367]"
46,"[1696636800000, 231.1142]"
47,"[1696723200000, 230.30981]"
48,"[1696809600000, 228.18742]"
49,"[1696896000000, 218.53277]"
50,"[1696982400000, 212.74905]"
51,"[1697068800000, 213.91201]"
52,"[1697155200000, 214.08988]"
53,"[1697241600000, 217.08827]"
54,"[1697328000000, 214.59102]"
55,"[1697414400000, 215.19058]"
56,"[1697500800000, 231.58635]"
57,"[1697587200000, 226.96852]"
58,"[1697673600000, 227.24578]"
59,"[1697760000000, 227.42116]"
60,"[1697846400000, 240.78524]"
61,"[1697932800000, 243.5826]"
62,"[1698019200000, 244.01474]"
63,"[1698105600000, 260.20329]"
64,"[1698192000000, 251.70466]"
65,"[1698278400000, 253.87043]"
66,"[1698364800000, 247.46436]"
67,"[1698451200000, 239.30508]"
68,"[1698537600000, 244.93414]"
69,"[1698624000000, 246.36368]"
70,"[1698710400000, 246.16339]"
71,"[1698796800000, 245.10074]"
72,"[1698883200000, 245.03727]"
73,"[1698969600000, 235.40667]"
74,"[1699056000000, 237.5633]"
75,"[1699142400000, 240.19921]"
76,"[1699228800000, 238.50377]"
77,"[1699315200000, 242.9077]"
78,"[1699401600000, 243.93439]"
79,"[1699488000000, 246.02099]"
80,"[1699574400000, 239.86448]"
81,"[1699660800000, 239.83948]"
82,"[1699747200000, 236.64699]"
83,"[1699833600000, 236.52548]"
84,"[1699920000000, 234.65015]"
85,"[1700006400000, 231.65348]"
86,"[1700092800000, 238.19201]"
87,"[1700179200000, 234.22847]"
88,"[1700265600000, 228.84701]"
89,"[1700352000000, 227.41641]"
90,"[1700438400000, 230.30213]"
91,"[1700524800000, 226.25727]"
92,"[1700611200000, 217.03017]"
93,"[1700697600000, 224.01586]"
94,"[1700784000000, 225.18424]"
95,"[1700870400000, 226.61344]"
96,"[1700956800000, 227.41936]"
97,"[1701043200000, 226.81349]"
98,"[1701129600000, 223.5092]"
99,"[1701216000000, 223.02487]"
100,"[1701302400000, 222.98567]"
101,"[1701388800000, 221.52455]"
102,"[1701475200000, 225.20472]"
103,"[1701561600000, 228.1034]"
104,"[1701648000000, 229.92182]"
105,"[1701734400000, 251.0503]"
