,prices
0,"[1692748800000, 26033.67541]"
1,"[1692835200000, 26450.00862]"
2,"[1692921600000, 26134.93425]"
3,"[1693008000000, 26044.03621]"
4,"[1693094400000, 26002.01572]"
5,"[1693180800000, 26082.71718]"
6,"[1693267200000, 26109.26982]"
7,"[1693353600000, 27730.50374]"
8,"[1693440000000, 27297.26144]"
9,"[1693526400000, 25927.41701]"
10,"[1693612800000, 25812.33049]"
11,"[1693699200000, 25853.65684]"
12,"[1693785600000, 25959.59631]"
13,"[1693872000000, 25829.36477]"
14,"[1693958400000, 25784.41352]"
15,"[1694044800000, 25752.95842]"
16,"[1694131200000, 26192.33343]"
17,"[1694217600000, 25907.22814]"
18,"[1694304000000, 25889.32501]"
19,"[1694390400000, 25834.5801]"
20,"[1694476800000, 25133.30311]"
21,"[1694563200000, 25866.80666]"
22,"[1694649600000, 26223.43608]"
23,"[1694736000000, 26531.39557]"
24,"[1694822400000, 26634.63103]"
25,"[1694908800000, 26557.76869]"
26,"[1694995200000, 26520.98825]"
27,"[1695081600000, 26741.46111]"
28,"[1695168000000, 27219.29687]"
29,"[1695254400000, 27115.84645]"
30,"[1695340800000, 26561.13345]"
31,"[1695427200000, 26572.03811]"
32,"[1695513600000, 26573.92348]"
33,"[1695600000000, 26249.5629]"
34,"[1695686400000, 26298.63468]"
35,"[1695772800000, 26204.75759]"
36,"[1695859200000, 26350.1469]"
37,"[1695945600000, 27009.01375]"
38,"[1696032000000, 26917.1991]"
39,"[1696118400000, 26969.87614]"
40,"[1696204800000, 27967.51058]"
41,"[1696291200000, 27615.06489]"
42,"[1696377600000, 27439.12195]"
43,"[1696464000000, 27792.11128]"
44,"[1696550400000, 27435.87462]"
45,"[1696636800000, 27958.19644]"
46,"[1696723200000, 27977.54349]"
47,"[1696809600000, 27948.10365]"
48,"[1696896000000, 27593.78253]"
49,"[1696982400000, 27392.2477]"
50,"[1697068800000, 26842.19044]"
51,"[1697155200000, 26729.13721]"
52,"[1697241600000, 26841.13622]"
53,"[1697328000000, 26863.18357]"
54,"[1697414400000, 27150.297]"
55,"[1697500800000, 28513.30993]"
56,"[1697587200000, 28417.72175]"
57,"[1697673600000, 28328.2452]"
58,"[1697760000000, 28715.74814]"
59,"[1697846400000, 29677.39289]"
60,"[1697932800000, 29920.07449]"
61,"[1698019200000, 30019.3805]"
62,"[1698105600000, 32953.26276]"
63,"[1698192000000, 33846.72426]"
64,"[1698278400000, 34471.98603]"
65,"[1698364800000, 34174.45155]"
66,"[1698451200000, 33899.09306]"
67,"[1698537600000, 34092.63093]"
68,"[1698624000000, 34556.24281]"
69,"[1698710400000, 34498.70392]"
70,"[1698796800000, 34672.28928]"
71,"[1698883200000, 35457.45491]"
72,"[1698969600000, 34924.05545]"
73,"[1699056000000, 34731.38137]"
74,"[1699142400000, 35048.40783]"
75,"[1699228800000, 35061.92875]"
76,"[1699315200000, 35031.26888]"
77,"[1699401600000, 35436.53763]"
78,"[1699488000000, 35795.08063]"
79,"[1699574400000, 36768.42082]"
80,"[1699660800000, 37344.249]"
81,"[1699747200000, 37122.72282]"
82,"[1699833600000, 37067.69698]"
83,"[1699920000000, 36549.16205]"
84,"[1700006400000, 35545.20143]"
85,"[1700092800000, 37903.66245]"
