,prices
0,"[1692748800000, 0.25838]"
1,"[1692835200000, 0.26827]"
2,"[1692921600000, 0.26579]"
3,"[1693008000000, 0.26109]"
4,"[1693094400000, 0.26079]"
5,"[1693180800000, 0.26326]"
6,"[1693267200000, 0.2675]"
7,"[1693353600000, 0.27212]"
8,"[1693440000000, 0.26556]"
9,"[1693526400000, 0.25522]"
10,"[1693612800000, 0.25526]"
11,"[1693699200000, 0.25605]"
12,"[1693785600000, 0.25574]"
13,"[1693872000000, 0.25616]"
14,"[1693958400000, 0.25754]"
15,"[1694044800000, 0.25774]"
16,"[1694131200000, 0.25751]"
17,"[1694217600000, 0.25436]"
18,"[1694304000000, 0.25327]"
19,"[1694390400000, 0.24915]"
20,"[1694476800000, 0.24155]"
21,"[1694563200000, 0.24583]"
22,"[1694649600000, 0.24876]"
23,"[1694736000000, 0.25111]"
24,"[1694822400000, 0.25059]"
25,"[1694908800000, 0.2503]"
26,"[1694995200000, 0.24709]"
27,"[1695081600000, 0.25152]"
28,"[1695168000000, 0.25499]"
29,"[1695254400000, 0.25137]"
30,"[1695340800000, 0.2451]"
31,"[1695427200000, 0.2449]"
32,"[1695513600000, 0.24597]"
33,"[1695600000000, 0.24256]"
34,"[1695686400000, 0.24588]"
35,"[1695772800000, 0.24531]"
36,"[1695859200000, 0.24476]"
37,"[1695945600000, 0.24888]"
38,"[1696032000000, 0.24942]"
39,"[1696118400000, 0.25379]"
40,"[1696204800000, 0.26589]"
41,"[1696291200000, 0.25972]"
42,"[1696377600000, 0.26103]"
43,"[1696464000000, 0.25941]"
44,"[1696550400000, 0.2602]"
45,"[1696636800000, 0.2649]"
46,"[1696723200000, 0.25872]"
47,"[1696809600000, 0.2565]"
48,"[1696896000000, 0.25159]"
49,"[1696982400000, 0.24903]"
50,"[1697068800000, 0.24778]"
51,"[1697155200000, 0.24566]"
52,"[1697241600000, 0.24582]"
53,"[1697328000000, 0.24699]"
54,"[1697414400000, 0.24715]"
55,"[1697500800000, 0.25131]"
56,"[1697587200000, 0.24649]"
57,"[1697673600000, 0.24296]"
58,"[1697760000000, 0.24695]"
59,"[1697846400000, 0.25112]"
60,"[1697932800000, 0.25848]"
61,"[1698019200000, 0.26401]"
62,"[1698105600000, 0.27889]"
63,"[1698192000000, 0.2789]"
64,"[1698278400000, 0.28033]"
65,"[1698364800000, 0.28747]"
66,"[1698451200000, 0.28934]"
67,"[1698537600000, 0.2908]"
68,"[1698624000000, 0.2951]"
69,"[1698710400000, 0.30281]"
70,"[1698796800000, 0.29325]"
71,"[1698883200000, 0.30755]"
72,"[1698969600000, 0.32331]"
73,"[1699056000000, 0.32906]"
74,"[1699142400000, 0.32802]"
75,"[1699228800000, 0.34319]"
76,"[1699315200000, 0.36334]"
77,"[1699401600000, 0.3512]"
78,"[1699488000000, 0.35849]"
79,"[1699574400000, 0.36824]"
80,"[1699660800000, 0.38631]"
81,"[1699747200000, 0.38487]"
82,"[1699833600000, 0.38315]"
83,"[1699920000000, 0.35877]"
84,"[1700006400000, 0.35771]"
85,"[1700092800000, 0.37896]"
86,"[1700179200000, 0.37052]"
87,"[1700265600000, 0.36572]"
88,"[1700352000000, 0.37761]"
89,"[1700438400000, 0.38398]"
90,"[1700524800000, 0.37958]"
91,"[1700611200000, 0.35859]"
92,"[1700697600000, 0.38032]"
93,"[1700784000000, 0.38614]"
94,"[1700870400000, 0.38619]"
95,"[1700956800000, 0.39458]"
96,"[1701043200000, 0.38787]"
97,"[1701129600000, 0.37839]"
98,"[1701216000000, 0.38545]"
99,"[1701302400000, 0.38134]"
100,"[1701388800000, 0.37563]"
101,"[1701475200000, 0.38413]"
102,"[1701561600000, 0.39805]"
103,"[1701648000000, 0.39466]"
104,"[1701734400000, 0.40687]"
105,"[1701820800000, 0.42552]"
106,"[1701907200000, 0.44209]"
107,"[1701993600000, 0.45587]"
108,"[1702080000000, 0.5474]"
109,"[1702166400000, 0.57902]"
