,prices
0,"[1692662400000, 6.17523]"
1,"[1692748800000, 6.11051]"
2,"[1692835200000, 6.34691]"
3,"[1692921600000, 6.073]"
4,"[1693008000000, 6.00922]"
5,"[1693094400000, 6.00428]"
6,"[1693180800000, 6.02238]"
7,"[1693267200000, 5.97898]"
8,"[1693353600000, 6.1866]"
9,"[1693440000000, 5.93199]"
10,"[1693526400000, 5.87426]"
11,"[1693612800000, 5.93392]"
12,"[1693699200000, 5.965]"
13,"[1693785600000, 6.02513]"
14,"[1693872000000, 6.01589]"
15,"[1693958400000, 6.13682]"
16,"[1694044800000, 6.29532]"
17,"[1694131200000, 6.37994]"
18,"[1694217600000, 6.2808]"
19,"[1694304000000, 6.16001]"
20,"[1694390400000, 6.01486]"
21,"[1694476800000, 5.81751]"
22,"[1694563200000, 5.96255]"
23,"[1694649600000, 6.01999]"
24,"[1694736000000, 6.15007]"
25,"[1694822400000, 6.3654]"
26,"[1694908800000, 6.28363]"
27,"[1694995200000, 6.14321]"
28,"[1695081600000, 6.55483]"
29,"[1695168000000, 6.86026]"
30,"[1695254400000, 6.90234]"
31,"[1695340800000, 6.67717]"
32,"[1695427200000, 6.93161]"
33,"[1695513600000, 7.19496]"
34,"[1695600000000, 6.9814]"
35,"[1695686400000, 7.48704]"
36,"[1695772800000, 7.36776]"
37,"[1695859200000, 7.64362]"
38,"[1695945600000, 7.81796]"
39,"[1696032000000, 7.95748]"
40,"[1696118400000, 8.17328]"
41,"[1696204800000, 8.04203]"
42,"[1696291200000, 7.47203]"
43,"[1696377600000, 7.41888]"
44,"[1696464000000, 7.68884]"
45,"[1696550400000, 7.47466]"
46,"[1696636800000, 7.65374]"
47,"[1696723200000, 7.53309]"
48,"[1696809600000, 7.67822]"
49,"[1696896000000, 7.28266]"
50,"[1696982400000, 7.26666]"
51,"[1697068800000, 7.39105]"
52,"[1697155200000, 7.18582]"
53,"[1697241600000, 7.2528]"
54,"[1697328000000, 7.31992]"
55,"[1697414400000, 7.4184]"
56,"[1697500800000, 7.54627]"
57,"[1697587200000, 7.33548]"
58,"[1697673600000, 7.36008]"
59,"[1697760000000, 7.3108]"
60,"[1697846400000, 7.58008]"
61,"[1697932800000, 8.89706]"
62,"[1698019200000, 10.13923]"
63,"[1698105600000, 10.51479]"
64,"[1698192000000, 10.44262]"
65,"[1698278400000, 11.01096]"
66,"[1698364800000, 10.9467]"
67,"[1698451200000, 11.20907]"
68,"[1698537600000, 10.91914]"
69,"[1698624000000, 11.10596]"
70,"[1698710400000, 11.2303]"
71,"[1698796800000, 11.36898]"
72,"[1698883200000, 11.63039]"
73,"[1698969600000, 11.00167]"
