,prices
0,"[1692662400000, 0.0625]"
1,"[1692748800000, 0.06258]"
2,"[1692835200000, 0.06382]"
3,"[1692921600000, 0.06298]"
4,"[1693008000000, 0.06309]"
5,"[1693094400000, 0.06284]"
6,"[1693180800000, 0.06312]"
7,"[1693267200000, 0.06345]"
8,"[1693353600000, 0.06632]"
9,"[1693440000000, 0.06585]"
10,"[1693526400000, 0.06377]"
11,"[1693612800000, 0.06388]"
12,"[1693699200000, 0.06344]"
13,"[1693785600000, 0.06315]"
14,"[1693872000000, 0.06323]"
15,"[1693958400000, 0.06398]"
16,"[1694044800000, 0.0636]"
17,"[1694131200000, 0.06355]"
18,"[1694217600000, 0.06367]"
19,"[1694304000000, 0.06337]"
20,"[1694390400000, 0.06132]"
21,"[1694476800000, 0.06038]"
22,"[1694563200000, 0.06098]"
23,"[1694649600000, 0.06126]"
24,"[1694736000000, 0.06205]"
25,"[1694822400000, 0.06251]"
26,"[1694908800000, 0.06212]"
27,"[1694995200000, 0.06152]"
28,"[1695081600000, 0.062]"
29,"[1695168000000, 0.0627]"
30,"[1695254400000, 0.06259]"
31,"[1695340800000, 0.06131]"
32,"[1695427200000, 0.06153]"
33,"[1695513600000, 0.06152]"
34,"[1695600000000, 0.06065]"
35,"[1695686400000, 0.06093]"
36,"[1695772800000, 0.06057]"
37,"[1695859200000, 0.06051]"
38,"[1695945600000, 0.06146]"
39,"[1696032000000, 0.06217]"
40,"[1696118400000, 0.0621]"
41,"[1696204800000, 0.06322]"
42,"[1696291200000, 0.06211]"
43,"[1696377600000, 0.06141]"
44,"[1696464000000, 0.0615]"
45,"[1696550400000, 0.06092]"
46,"[1696636800000, 0.06146]"
47,"[1696723200000, 0.06146]"
48,"[1696809600000, 0.061]"
49,"[1696896000000, 0.05872]"
50,"[1696982400000, 0.05903]"
51,"[1697068800000, 0.05844]"
52,"[1697155200000, 0.05784]"
53,"[1697241600000, 0.05835]"
54,"[1697328000000, 0.05984]"
55,"[1697414400000, 0.0593]"
56,"[1697500800000, 0.06011]"
57,"[1697587200000, 0.05912]"
58,"[1697673600000, 0.05868]"
59,"[1697760000000, 0.05891]"
60,"[1697846400000, 0.05997]"
61,"[1697932800000, 0.06118]"
62,"[1698019200000, 0.0617]"
63,"[1698105600000, 0.06699]"
64,"[1698192000000, 0.06652]"
65,"[1698278400000, 0.06829]"
66,"[1698364800000, 0.07181]"
67,"[1698451200000, 0.0678]"
68,"[1698537600000, 0.06901]"
69,"[1698624000000, 0.06935]"
70,"[1698710400000, 0.06967]"
71,"[1698796800000, 0.06828]"
72,"[1698883200000, 0.06882]"
73,"[1698969600000, 0.06788]"
74,"[1699056000000, 0.06814]"
75,"[1699142400000, 0.06907]"
76,"[1699228800000, 0.07124]"
77,"[1699315200000, 0.07639]"
78,"[1699401600000, 0.07344]"
79,"[1699488000000, 0.07555]"
80,"[1699574400000, 0.07341]"
81,"[1699660800000, 0.07533]"
82,"[1699747200000, 0.07838]"
83,"[1699833600000, 0.07802]"
84,"[1699920000000, 0.07486]"
85,"[1700006400000, 0.07248]"
86,"[1700092800000, 0.07633]"
87,"[1700179200000, 0.07864]"
88,"[1700265600000, 0.08602]"
89,"[1700352000000, 0.08019]"
90,"[1700438400000, 0.08044]"
91,"[1700524800000, 0.07765]"
92,"[1700611200000, 0.07226]"
93,"[1700697600000, 0.07578]"
94,"[1700784000000, 0.07617]"
95,"[1700870400000, 0.07818]"
96,"[1700956800000, 0.07888]"
97,"[1701043200000, 0.07857]"
98,"[1701129600000, 0.07877]"
99,"[1701216000000, 0.0807]"
100,"[1701302400000, 0.08042]"
101,"[1701388800000, 0.08334]"
102,"[1701475200000, 0.0839]"
103,"[1701561600000, 0.08637]"
104,"[1701648000000, 0.08551]"
105,"[1701734400000, 0.09171]"
106,"[1701820800000, 0.09423]"
107,"[1701907200000, 0.09476]"
108,"[1701993600000, 0.09588]"
109,"[1702080000000, 0.10155]"
110,"[1702166400000, 0.09859]"
111,"[1702252800000, 0.1018]"
112,"[1702339200000, 0.09413]"
113,"[1702425600000, 0.09375]"
114,"[1702512000000, 0.09641]"
115,"[1702598400000, 0.09832]"
116,"[1702684800000, 0.09296]"
117,"[1702771200000, 0.09697]"
118,"[1702857600000, 0.09296]"
119,"[1702944000000, 0.092]"
120,"[1703030400000, 0.09011]"
121,"[1703116800000, 0.09137]"
122,"[1703203200000, 0.09479]"
123,"[1703289600000, 0.09529]"
124,"[1703376000000, 0.09361]"
125,"[1703462400000, 0.09179]"
126,"[1703548800000, 0.09455]"
127,"[1703635200000, 0.09124]"
128,"[1703721600000, 0.09354]"
129,"[1703808000000, 0.09181]"
130,"[1703894400000, 0.09099]"
131,"[1703980800000, 0.09013]"
132,"[1704067200000, 0.08931]"
133,"[1704153600000, 0.09206]"
134,"[1704240000000, 0.09124]"
135,"[1704326400000, 0.08194]"
136,"[1704412800000, 0.08409]"
137,"[1704499200000, 0.08267]"
138,"[1704585600000, 0.08057]"
139,"[1704672000000, 0.07824]"
140,"[1704758400000, 0.0813]"
