,prices
0,"[1692662400000, 1666.84047]"
1,"[1692748800000, 1635.19129]"
2,"[1692835200000, 1679.12399]"
3,"[1692921600000, 1658.39965]"
4,"[1693008000000, 1653.42932]"
5,"[1693094400000, 1645.905]"
6,"[1693180800000, 1656.93106]"
7,"[1693267200000, 1653.19857]"
8,"[1693353600000, 1730.19026]"
9,"[1693440000000, 1705.1081]"
10,"[1693526400000, 1645.18153]"
11,"[1693612800000, 1630.60589]"
12,"[1693699200000, 1636.1622]"
13,"[1693785600000, 1635.40304]"
14,"[1693872000000, 1630.62755]"
15,"[1693958400000, 1633.077]"
16,"[1694044800000, 1632.90242]"
17,"[1694131200000, 1646.30508]"
18,"[1694217600000, 1636.35426]"
19,"[1694304000000, 1634.44595]"
20,"[1694390400000, 1617.48618]"
21,"[1694476800000, 1549.89342]"
22,"[1694563200000, 1594.9745]"
23,"[1694649600000, 1607.7367]"
24,"[1694736000000, 1626.43634]"
25,"[1694822400000, 1641.93476]"
26,"[1694908800000, 1634.41988]"
27,"[1694995200000, 1622.47878]"
28,"[1695081600000, 1636.63461]"
29,"[1695168000000, 1643.69842]"
30,"[1695254400000, 1621.53296]"
31,"[1695340800000, 1583.82425]"
32,"[1695427200000, 1593.47015]"
33,"[1695513600000, 1593.17997]"
34,"[1695600000000, 1580.47779]"
35,"[1695686400000, 1588.47118]"
36,"[1695772800000, 1592.48613]"
37,"[1695859200000, 1597.41681]"
38,"[1695945600000, 1652.1964]"
39,"[1696032000000, 1667.98885]"
40,"[1696118400000, 1670.99896]"
41,"[1696204800000, 1733.81803]"
42,"[1696291200000, 1665.27643]"
43,"[1696377600000, 1656.322]"
44,"[1696464000000, 1648.19337]"
45,"[1696550400000, 1612.99489]"
46,"[1696636800000, 1646.3934]"
47,"[1696723200000, 1635.08286]"
48,"[1696809600000, 1634.22166]"
49,"[1696896000000, 1580.17776]"
50,"[1696982400000, 1567.45823]"
51,"[1697068800000, 1564.9162]"
52,"[1697155200000, 1536.8128]"
53,"[1697241600000, 1550.96687]"
54,"[1697328000000, 1555.45621]"
55,"[1697414400000, 1557.76081]"
56,"[1697500800000, 1601.23219]"
57,"[1697587200000, 1565.06059]"
58,"[1697673600000, 1564.07119]"
59,"[1697760000000, 1568.37468]"
60,"[1697846400000, 1603.90994]"
61,"[1697932800000, 1629.29553]"
62,"[1698019200000, 1664.57064]"
63,"[1698105600000, 1764.93031]"
64,"[1698192000000, 1784.77341]"
65,"[1698278400000, 1785.55515]"
66,"[1698364800000, 1804.16177]"
67,"[1698451200000, 1780.57041]"
68,"[1698537600000, 1776.35357]"
69,"[1698624000000, 1798.16541]"
70,"[1698710400000, 1809.6393]"
71,"[1698796800000, 1816.80315]"
72,"[1698883200000, 1846.48223]"
73,"[1698969600000, 1800.90718]"
74,"[1699056000000, 1834.17306]"
75,"[1699142400000, 1855.45439]"
76,"[1699228800000, 1895.93807]"
77,"[1699315200000, 1898.51823]"
78,"[1699401600000, 1887.31532]"
79,"[1699488000000, 1891.49178]"
80,"[1699574400000, 2128.6095]"
81,"[1699660800000, 2078.85347]"
82,"[1699747200000, 2052.99459]"
83,"[1699833600000, 2046.08708]"
84,"[1699920000000, 2060.53286]"
85,"[1700006400000, 1980.51543]"
86,"[1700092800000, 2061.63553]"
87,"[1700179200000, 1962.24384]"
88,"[1700265600000, 1956.51743]"
89,"[1700352000000, 1962.63057]"
90,"[1700438400000, 2011.12672]"
91,"[1700524800000, 2022.38815]"
92,"[1700611200000, 1940.44481]"
93,"[1700697600000, 2065.94144]"
94,"[1700784000000, 2062.26955]"
95,"[1700870400000, 2080.85176]"
96,"[1700956800000, 2085.42662]"
97,"[1701043200000, 2064.07422]"
98,"[1701129600000, 2030.00051]"
99,"[1701216000000, 2048.53526]"
100,"[1701302400000, 2025.93733]"
101,"[1701388800000, 2051.75672]"
102,"[1701475200000, 2085.71236]"
103,"[1701561600000, 2165.29788]"
104,"[1701648000000, 2190.70404]"
105,"[1701734400000, 2242.96154]"
106,"[1701820800000, 2294.09517]"
107,"[1701907200000, 2232.02544]"
108,"[1701993600000, 2354.38693]"
109,"[1702080000000, 2359.88906]"
110,"[1702166400000, 2341.07248]"
111,"[1702252800000, 2352.09873]"
112,"[1702339200000, 2222.34684]"
113,"[1702425600000, 2200.33372]"
114,"[1702512000000, 2260.88235]"
115,"[1702598400000, 2317.46507]"
116,"[1702684800000, 2219.95162]"
117,"[1702771200000, 2227.93645]"
118,"[1702857600000, 2199.54012]"
119,"[1702944000000, 2216.92901]"
120,"[1703030400000, 2176.83941]"
121,"[1703116800000, 2198.4214]"
122,"[1703203200000, 2236.18696]"
123,"[1703289600000, 2327.04896]"
124,"[1703376000000, 2310.95566]"
125,"[1703462400000, 2264.91114]"
126,"[1703548800000, 2273.63261]"
127,"[1703635200000, 2230.87618]"
128,"[1703721600000, 2376.77125]"
129,"[1703808000000, 2345.26071]"
130,"[1703894400000, 2299.52621]"
131,"[1703980800000, 2294.34401]"
