,prices
0,"[1692748800000, 4.42046]"
1,"[1692835200000, 4.49063]"
2,"[1692921600000, 4.41779]"
3,"[1693008000000, 4.48451]"
4,"[1693094400000, 4.50381]"
5,"[1693180800000, 4.49134]"
6,"[1693267200000, 4.60548]"
7,"[1693353600000, 4.67135]"
8,"[1693440000000, 4.53312]"
9,"[1693526400000, 4.26613]"
10,"[1693612800000, 4.21716]"
11,"[1693699200000, 4.25921]"
12,"[1693785600000, 4.26019]"
13,"[1693872000000, 4.25464]"
14,"[1693958400000, 4.25323]"
15,"[1694044800000, 4.26787]"
16,"[1694131200000, 4.28567]"
17,"[1694217600000, 4.25079]"
18,"[1694304000000, 4.23937]"
19,"[1694390400000, 4.15142]"
20,"[1694476800000, 3.98299]"
21,"[1694563200000, 3.98693]"
22,"[1694649600000, 4.001]"
23,"[1694736000000, 4.05638]"
24,"[1694822400000, 4.14034]"
25,"[1694908800000, 4.18522]"
26,"[1694995200000, 4.07483]"
27,"[1695081600000, 4.10324]"
28,"[1695168000000, 4.15565]"
29,"[1695254400000, 4.13814]"
30,"[1695340800000, 4.0118]"
31,"[1695427200000, 4.02004]"
32,"[1695513600000, 4.03134]"
33,"[1695600000000, 3.98654]"
34,"[1695686400000, 4.06209]"
35,"[1695772800000, 4.01162]"
36,"[1695859200000, 3.98983]"
37,"[1695945600000, 4.07129]"
38,"[1696032000000, 4.07631]"
39,"[1696118400000, 4.10302]"
40,"[1696204800000, 4.26269]"
41,"[1696291200000, 4.12601]"
42,"[1696377600000, 4.07556]"
43,"[1696464000000, 4.04607]"
44,"[1696550400000, 4.0224]"
45,"[1696636800000, 4.07219]"
46,"[1696723200000, 4.05587]"
47,"[1696809600000, 4.01413]"
48,"[1696896000000, 3.87506]"
49,"[1696982400000, 3.81105]"
50,"[1697068800000, 3.73585]"
51,"[1697155200000, 3.67081]"
52,"[1697241600000, 3.71793]"
53,"[1697328000000, 3.7342]"
54,"[1697414400000, 3.75211]"
55,"[1697500800000, 3.78637]"
56,"[1697587200000, 3.67375]"
57,"[1697673600000, 3.65504]"
58,"[1697760000000, 3.65063]"
59,"[1697846400000, 3.71951]"
60,"[1697932800000, 3.90068]"
61,"[1698019200000, 3.96565]"
62,"[1698105600000, 4.33022]"
63,"[1698192000000, 4.18759]"
64,"[1698278400000, 4.28251]"
65,"[1698364800000, 4.23689]"
66,"[1698451200000, 4.13983]"
67,"[1698537600000, 4.18033]"
68,"[1698624000000, 4.31275]"
69,"[1698710400000, 4.52086]"
70,"[1698796800000, 4.45528]"
71,"[1698883200000, 4.72683]"
72,"[1698969600000, 4.63597]"
73,"[1699056000000, 4.61833]"
74,"[1699142400000, 4.68687]"
75,"[1699228800000, 4.77628]"
76,"[1699315200000, 4.96444]"
77,"[1699401600000, 4.92618]"
78,"[1699488000000, 5.06207]"
79,"[1699574400000, 5.09143]"
80,"[1699660800000, 5.30016]"
81,"[1699747200000, 5.55425]"
82,"[1699833600000, 5.69313]"
83,"[1699920000000, 5.37575]"
84,"[1700006400000, 5.20542]"
85,"[1700092800000, 5.56099]"
86,"[1700179200000, 5.35658]"
87,"[1700265600000, 5.22805]"
88,"[1700352000000, 5.28772]"
89,"[1700438400000, 5.44064]"
90,"[1700524800000, 5.29693]"
