,prices
0,"[1692662400000, 0.52441]"
1,"[1692748800000, 0.52092]"
2,"[1692835200000, 0.52992]"
3,"[1692921600000, 0.51811]"
4,"[1693008000000, 0.5263]"
5,"[1693094400000, 0.52291]"
6,"[1693180800000, 0.52355]"
7,"[1693267200000, 0.5233]"
8,"[1693353600000, 0.54002]"
9,"[1693440000000, 0.52788]"
10,"[1693526400000, 0.51032]"
11,"[1693612800000, 0.49784]"
12,"[1693699200000, 0.4986]"
13,"[1693785600000, 0.50454]"
14,"[1693872000000, 0.50842]"
15,"[1693958400000, 0.50516]"
16,"[1694044800000, 0.50325]"
17,"[1694131200000, 0.50424]"
18,"[1694217600000, 0.50484]"
19,"[1694304000000, 0.50358]"
20,"[1694390400000, 0.49785]"
21,"[1694476800000, 0.47438]"
22,"[1694563200000, 0.48081]"
23,"[1694649600000, 0.48388]"
24,"[1694736000000, 0.48903]"
25,"[1694822400000, 0.50049]"
26,"[1694908800000, 0.49927]"
27,"[1694995200000, 0.4929]"
28,"[1695081600000, 0.50268]"
29,"[1695168000000, 0.51414]"
30,"[1695254400000, 0.52163]"
31,"[1695340800000, 0.50669]"
32,"[1695427200000, 0.51219]"
33,"[1695513600000, 0.50742]"
34,"[1695600000000, 0.50217]"
35,"[1695686400000, 0.50537]"
36,"[1695772800000, 0.50167]"
37,"[1695859200000, 0.49923]"
38,"[1695945600000, 0.5095]"
39,"[1696032000000, 0.52129]"
40,"[1696118400000, 0.51543]"
41,"[1696204800000, 0.52419]"
42,"[1696291200000, 0.51327]"
43,"[1696377600000, 0.53764]"
44,"[1696464000000, 0.533]"
45,"[1696550400000, 0.52355]"
46,"[1696636800000, 0.52605]"
47,"[1696723200000, 0.52186]"
48,"[1696809600000, 0.51795]"
49,"[1696896000000, 0.50288]"
50,"[1696982400000, 0.49726]"
51,"[1697068800000, 0.48867]"
52,"[1697155200000, 0.48296]"
53,"[1697241600000, 0.48547]"
54,"[1697328000000, 0.48663]"
55,"[1697414400000, 0.48768]"
56,"[1697500800000, 0.49852]"
