,prices
0,"[1692748800000, 1e-05]"
1,"[1692835200000, 1e-05]"
2,"[1692921600000, 1e-05]"
3,"[1693008000000, 1e-05]"
4,"[1693094400000, 1e-05]"
5,"[1693180800000, 1e-05]"
6,"[1693267200000, 1e-05]"
7,"[1693353600000, 1e-05]"
8,"[1693440000000, 1e-05]"
9,"[1693526400000, 1e-05]"
10,"[1693612800000, 1e-05]"
11,"[1693699200000, 1e-05]"
12,"[1693785600000, 1e-05]"
13,"[1693872000000, 1e-05]"
14,"[1693958400000, 1e-05]"
15,"[1694044800000, 1e-05]"
16,"[1694131200000, 1e-05]"
17,"[1694217600000, 1e-05]"
18,"[1694304000000, 1e-05]"
19,"[1694390400000, 1e-05]"
20,"[1694476800000, 1e-05]"
21,"[1694563200000, 1e-05]"
22,"[1694649600000, 1e-05]"
23,"[1694736000000, 1e-05]"
24,"[1694822400000, 1e-05]"
25,"[1694908800000, 1e-05]"
26,"[1694995200000, 1e-05]"
27,"[1695081600000, 1e-05]"
28,"[1695168000000, 1e-05]"
29,"[1695254400000, 1e-05]"
30,"[1695340800000, 1e-05]"
31,"[1695427200000, 1e-05]"
32,"[1695513600000, 1e-05]"
33,"[1695600000000, 1e-05]"
34,"[1695686400000, 1e-05]"
35,"[1695772800000, 1e-05]"
36,"[1695859200000, 1e-05]"
37,"[1695945600000, 1e-05]"
38,"[1696032000000, 1e-05]"
39,"[1696118400000, 1e-05]"
40,"[1696204800000, 1e-05]"
41,"[1696291200000, 1e-05]"
42,"[1696377600000, 1e-05]"
43,"[1696464000000, 1e-05]"
44,"[1696550400000, 1e-05]"
45,"[1696636800000, 1e-05]"
46,"[1696723200000, 1e-05]"
47,"[1696809600000, 1e-05]"
48,"[1696896000000, 1e-05]"
49,"[1696982400000, 1e-05]"
50,"[1697068800000, 1e-05]"
51,"[1697155200000, 1e-05]"
52,"[1697241600000, 1e-05]"
53,"[1697328000000, 1e-05]"
54,"[1697414400000, 1e-05]"
55,"[1697500800000, 1e-05]"
56,"[1697587200000, 1e-05]"
57,"[1697673600000, 1e-05]"
58,"[1697760000000, 1e-05]"
59,"[1697846400000, 1e-05]"
60,"[1697932800000, 1e-05]"
61,"[1698019200000, 1e-05]"
62,"[1698105600000, 1e-05]"
63,"[1698192000000, 1e-05]"
64,"[1698278400000, 1e-05]"
65,"[1698364800000, 1e-05]"
66,"[1698451200000, 1e-05]"
67,"[1698537600000, 1e-05]"
68,"[1698624000000, 1e-05]"
69,"[1698710400000, 1e-05]"
70,"[1698796800000, 1e-05]"
71,"[1698883200000, 1e-05]"
72,"[1698969600000, 1e-05]"
73,"[1699056000000, 1e-05]"
74,"[1699142400000, 1e-05]"
75,"[1699228800000, 1e-05]"
76,"[1699315200000, 1e-05]"
77,"[1699401600000, 1e-05]"
78,"[1699488000000, 1e-05]"
79,"[1699574400000, 1e-05]"
80,"[1699660800000, 1e-05]"
81,"[1699747200000, 1e-05]"
82,"[1699833600000, 1e-05]"
