,prices
0,"[1692748800000, 20.55389]"
1,"[1692835200000, 21.67256]"
2,"[1692921600000, 21.02615]"
3,"[1693008000000, 20.39283]"
4,"[1693094400000, 20.27382]"
5,"[1693180800000, 20.78119]"
6,"[1693267200000, 20.56254]"
7,"[1693353600000, 21.75689]"
8,"[1693440000000, 20.84094]"
9,"[1693526400000, 19.73119]"
10,"[1693612800000, 19.33939]"
11,"[1693699200000, 19.46854]"
12,"[1693785600000, 19.57639]"
13,"[1693872000000, 19.49191]"
14,"[1693958400000, 20.27046]"
15,"[1694044800000, 19.62503]"
16,"[1694131200000, 19.88789]"
17,"[1694217600000, 19.59598]"
18,"[1694304000000, 19.44048]"
19,"[1694390400000, 18.24156]"
20,"[1694476800000, 17.70513]"
21,"[1694563200000, 17.94445]"
22,"[1694649600000, 18.40357]"
23,"[1694736000000, 18.8299]"
24,"[1694822400000, 19.17312]"
25,"[1694908800000, 19.1269]"
26,"[1694995200000, 18.80311]"
27,"[1695081600000, 19.64015]"
28,"[1695168000000, 20.0421]"
29,"[1695254400000, 20.28725]"
30,"[1695340800000, 19.47012]"
31,"[1695427200000, 19.43773]"
32,"[1695513600000, 19.47116]"
33,"[1695600000000, 19.35175]"
34,"[1695686400000, 19.39488]"
35,"[1695772800000, 19.01709]"
36,"[1695859200000, 19.12787]"
37,"[1695945600000, 19.9462]"
38,"[1696032000000, 20.29416]"
39,"[1696118400000, 21.38705]"
40,"[1696204800000, 23.8815]"
41,"[1696291200000, 23.40995]"
42,"[1696377600000, 23.54664]"
43,"[1696464000000, 23.14279]"
44,"[1696550400000, 22.71992]"
45,"[1696636800000, 23.43164]"
46,"[1696723200000, 23.29382]"
47,"[1696809600000, 23.24917]"
48,"[1696896000000, 22.11145]"
49,"[1696982400000, 22.10708]"
50,"[1697068800000, 21.96097]"
51,"[1697155200000, 21.26544]"
52,"[1697241600000, 21.82647]"
53,"[1697328000000, 22.00457]"
54,"[1697414400000, 21.91623]"
55,"[1697500800000, 23.98138]"
56,"[1697587200000, 23.97106]"
57,"[1697673600000, 23.43406]"
58,"[1697760000000, 24.94268]"
