,prices
0,"[1692748800000, 1631.33509]"
1,"[1692835200000, 1678.2877]"
2,"[1692921600000, 1655.81435]"
3,"[1693008000000, 1652.85036]"
4,"[1693094400000, 1644.30584]"
5,"[1693180800000, 1655.40473]"
6,"[1693267200000, 1650.46751]"
7,"[1693353600000, 1727.24045]"
8,"[1693440000000, 1703.71945]"
9,"[1693526400000, 1643.97766]"
10,"[1693612800000, 1628.07636]"
11,"[1693699200000, 1635.20647]"
12,"[1693785600000, 1635.48394]"
13,"[1693872000000, 1628.62969]"
14,"[1693958400000, 1630.8862]"
15,"[1694044800000, 1629.9845]"
16,"[1694131200000, 1644.35181]"
17,"[1694217600000, 1634.92845]"
18,"[1694304000000, 1634.16494]"
19,"[1694390400000, 1617.70577]"
20,"[1694476800000, 1548.81652]"
21,"[1694563200000, 1594.07741]"
22,"[1694649600000, 1607.48543]"
23,"[1694736000000, 1627.36882]"
24,"[1694822400000, 1641.96291]"
25,"[1694908800000, 1634.94214]"
26,"[1694995200000, 1621.60401]"
27,"[1695081600000, 1636.94517]"
28,"[1695168000000, 1644.15919]"
29,"[1695254400000, 1621.13679]"
30,"[1695340800000, 1584.10383]"
31,"[1695427200000, 1593.12562]"
32,"[1695513600000, 1592.31269]"
33,"[1695600000000, 1578.55022]"
34,"[1695686400000, 1586.8522]"
35,"[1695772800000, 1592.3037]"
36,"[1695859200000, 1597.49925]"
37,"[1695945600000, 1651.41551]"
38,"[1696032000000, 1667.26643]"
39,"[1696118400000, 1669.6695]"
40,"[1696204800000, 1736.27459]"
41,"[1696291200000, 1664.81496]"
42,"[1696377600000, 1654.60371]"
43,"[1696464000000, 1648.35726]"
44,"[1696550400000, 1613.31107]"
45,"[1696636800000, 1645.82717]"
46,"[1696723200000, 1634.5646]"
47,"[1696809600000, 1632.8352]"
48,"[1696896000000, 1578.44382]"
49,"[1696982400000, 1567.67681]"
50,"[1697068800000, 1565.76389]"
51,"[1697155200000, 1538.73386]"
52,"[1697241600000, 1549.14231]"
53,"[1697328000000, 1555.77258]"
54,"[1697414400000, 1557.25996]"
55,"[1697500800000, 1600.88161]"
56,"[1697587200000, 1563.0717]"
57,"[1697673600000, 1563.75972]"
58,"[1697760000000, 1566.91359]"
59,"[1697846400000, 1604.07193]"
60,"[1697932800000, 1626.65061]"
61,"[1698019200000, 1663.09278]"
62,"[1698105600000, 1766.6083]"
63,"[1698192000000, 1783.04272]"
64,"[1698278400000, 1783.8797]"
65,"[1698364800000, 1804.12668]"
66,"[1698451200000, 1781.32137]"
67,"[1698537600000, 1774.97837]"
68,"[1698624000000, 1795.7169]"
69,"[1698710400000, 1807.62986]"
70,"[1698796800000, 1813.89219]"
71,"[1698883200000, 1842.81479]"
72,"[1698969600000, 1799.95819]"
73,"[1699056000000, 1833.72618]"
74,"[1699142400000, 1857.10712]"
75,"[1699228800000, 1893.41836]"
76,"[1699315200000, 1896.99766]"
77,"[1699401600000, 1885.51114]"
78,"[1699488000000, 1890.17822]"
79,"[1699574400000, 2127.35728]"
80,"[1699660800000, 2076.22582]"
81,"[1699747200000, 2051.00389]"
82,"[1699833600000, 2047.02412]"
83,"[1699920000000, 2059.9544]"
84,"[1700006400000, 1978.84485]"
85,"[1700092800000, 2057.13202]"
86,"[1700179200000, 1959.19355]"
87,"[1700265600000, 1957.04495]"
88,"[1700352000000, 1961.36282]"
89,"[1700438400000, 2004.88438]"
90,"[1700524800000, 2022.0349]"
91,"[1700611200000, 1940.49712]"
92,"[1700697600000, 2066.31674]"
93,"[1700784000000, 2061.26423]"
94,"[1700870400000, 2078.25274]"
95,"[1700956800000, 2082.60457]"
96,"[1701043200000, 2064.49938]"
97,"[1701129600000, 2026.51389]"
98,"[1701216000000, 2049.43569]"
99,"[1701302400000, 2025.64833]"
100,"[1701388800000, 2048.45255]"
101,"[1701475200000, 2084.70475]"
102,"[1701561600000, 2164.34148]"
103,"[1701648000000, 2193.27778]"
104,"[1701734400000, 2240.52004]"
105,"[1701820800000, 2288.45839]"
106,"[1701907200000, 2233.54827]"
107,"[1701993600000, 2352.15145]"
108,"[1702080000000, 2356.37478]"
109,"[1702166400000, 2337.69326]"
