,prices
0,"[1692835200000, 1.00101]"
1,"[1692921600000, 0.99927]"
2,"[1693008000000, 0.9995]"
3,"[1693094400000, 0.99966]"
4,"[1693180800000, 0.9995]"
5,"[1693267200000, 0.99958]"
6,"[1693353600000, 0.99991]"
7,"[1693440000000, 0.99972]"
8,"[1693526400000, 0.99966]"
9,"[1693612800000, 0.99941]"
10,"[1693699200000, 0.99968]"
11,"[1693785600000, 0.99961]"
12,"[1693872000000, 0.99952]"
13,"[1693958400000, 0.99953]"
14,"[1694044800000, 0.9993]"
15,"[1694131200000, 0.99993]"
16,"[1694217600000, 1.0]"
17,"[1694304000000, 0.99962]"
18,"[1694390400000, 0.99966]"
19,"[1694476800000, 0.9997]"
20,"[1694563200000, 1.00084]"
21,"[1694649600000, 1.00015]"
22,"[1694736000000, 1.00007]"
23,"[1694822400000, 0.99989]"
24,"[1694908800000, 1.00017]"
25,"[1694995200000, 1.00025]"
26,"[1695081600000, 0.99996]"
27,"[1695168000000, 0.99985]"
28,"[1695254400000, 0.99943]"
29,"[1695340800000, 0.99981]"
30,"[1695427200000, 1.00012]"
31,"[1695513600000, 1.00005]"
32,"[1695600000000, 1.0]"
33,"[1695686400000, 0.99978]"
34,"[1695772800000, 0.99953]"
35,"[1695859200000, 0.99939]"
36,"[1695945600000, 0.99965]"
37,"[1696032000000, 0.99986]"
38,"[1696118400000, 1.00008]"
39,"[1696204800000, 0.99976]"
40,"[1696291200000, 1.0001]"
41,"[1696377600000, 1.00024]"
42,"[1696464000000, 1.00007]"
43,"[1696550400000, 0.99977]"
44,"[1696636800000, 1.00096]"
45,"[1696723200000, 1.00075]"
46,"[1696809600000, 1.0006]"
47,"[1696896000000, 1.00013]"
48,"[1696982400000, 0.99998]"
49,"[1697068800000, 0.99954]"
50,"[1697155200000, 0.9995]"
51,"[1697241600000, 0.99972]"
52,"[1697328000000, 1.00019]"
53,"[1697414400000, 0.99983]"
54,"[1697500800000, 1.00063]"
55,"[1697587200000, 1.00043]"
56,"[1697673600000, 1.00021]"
57,"[1697760000000, 1.00069]"
58,"[1697846400000, 1.00026]"
59,"[1697932800000, 1.00037]"
60,"[1698019200000, 1.00083]"
61,"[1698105600000, 1.00132]"
62,"[1698192000000, 1.00015]"
63,"[1698278400000, 1.00058]"
64,"[1698364800000, 1.00053]"
65,"[1698451200000, 0.99961]"
66,"[1698537600000, 1.00005]"
67,"[1698624000000, 1.00059]"
68,"[1698710400000, 1.00058]"
69,"[1698796800000, 1.00074]"
70,"[1698883200000, 1.00045]"
71,"[1698969600000, 0.99991]"
72,"[1699056000000, 1.00042]"
73,"[1699142400000, 1.00035]"
74,"[1699228800000, 1.00051]"
75,"[1699315200000, 1.00067]"
76,"[1699401600000, 1.00071]"
77,"[1699488000000, 0.99961]"
78,"[1699574400000, 1.00046]"
79,"[1699660800000, 1.00034]"
80,"[1699747200000, 1.00108]"
81,"[1699833600000, 1.00043]"
82,"[1699920000000, 1.0001]"
