,prices
0,"[1692835200000, 1.42578]"
1,"[1692921600000, 1.40847]"
2,"[1693008000000, 1.42936]"
3,"[1693094400000, 1.46523]"
4,"[1693180800000, 1.51638]"
5,"[1693267200000, 1.522]"
6,"[1693353600000, 1.71495]"
7,"[1693440000000, 1.71927]"
8,"[1693526400000, 1.74949]"
9,"[1693612800000, 1.95181]"
10,"[1693699200000, 1.85651]"
11,"[1693785600000, 1.88751]"
12,"[1693872000000, 1.88131]"
13,"[1693958400000, 1.7854]"
14,"[1694044800000, 1.82256]"
15,"[1694131200000, 1.79613]"
16,"[1694217600000, 1.78173]"
17,"[1694304000000, 1.76874]"
18,"[1694390400000, 1.71855]"
19,"[1694476800000, 1.64623]"
20,"[1694563200000, 1.81553]"
21,"[1694649600000, 1.89623]"
22,"[1694736000000, 1.91777]"
23,"[1694822400000, 2.10165]"
24,"[1694908800000, 2.40917]"
25,"[1694995200000, 2.32072]"
26,"[1695081600000, 2.39402]"
27,"[1695168000000, 2.5752]"
28,"[1695254400000, 2.40587]"
29,"[1695340800000, 2.34993]"
30,"[1695427200000, 2.2895]"
31,"[1695513600000, 2.29902]"
32,"[1695600000000, 2.1864]"
33,"[1695686400000, 2.14271]"
34,"[1695772800000, 2.11235]"
35,"[1695859200000, 2.16824]"
36,"[1695945600000, 2.23448]"
37,"[1696032000000, 2.15935]"
38,"[1696118400000, 2.10643]"
39,"[1696204800000, 2.12901]"
40,"[1696291200000, 2.02296]"
41,"[1696377600000, 2.03877]"
42,"[1696464000000, 1.95625]"
43,"[1696550400000, 2.05564]"
44,"[1696636800000, 2.14095]"
45,"[1696723200000, 2.05881]"
46,"[1696809600000, 2.05109]"
47,"[1696896000000, 1.97798]"
48,"[1696982400000, 2.00443]"
49,"[1697068800000, 1.98712]"
50,"[1697155200000, 1.92703]"
51,"[1697241600000, 1.93576]"
52,"[1697328000000, 1.91724]"
53,"[1697414400000, 1.92377]"
54,"[1697500800000, 1.961]"
55,"[1697587200000, 2.10298]"
56,"[1697673600000, 2.04464]"
57,"[1697760000000, 2.06774]"
58,"[1697846400000, 2.08039]"
59,"[1697932800000, 2.12523]"
60,"[1698019200000, 2.19336]"
61,"[1698105600000, 2.17557]"
62,"[1698192000000, 2.12286]"
63,"[1698278400000, 2.13329]"
64,"[1698364800000, 2.12741]"
65,"[1698451200000, 2.05676]"
66,"[1698537600000, 2.03729]"
67,"[1698624000000, 2.07217]"
68,"[1698710400000, 2.11991]"
69,"[1698796800000, 2.22415]"
70,"[1698883200000, 2.20344]"
71,"[1698969600000, 2.22905]"
72,"[1699056000000, 2.26388]"
73,"[1699142400000, 2.24081]"
74,"[1699228800000, 2.27008]"
75,"[1699315200000, 2.44106]"
76,"[1699401600000, 2.53866]"
77,"[1699488000000, 2.69933]"
78,"[1699574400000, 2.46793]"
79,"[1699660800000, 2.46192]"
80,"[1699747200000, 2.36523]"
81,"[1699833600000, 2.48258]"
82,"[1699920000000, 2.34606]"
83,"[1700006400000, 2.2526]"
84,"[1700092800000, 2.40032]"
85,"[1700179200000, 2.28183]"
86,"[1700265600000, 2.32195]"
87,"[1700352000000, 2.37273]"
88,"[1700438400000, 2.37132]"
89,"[1700524800000, 2.3242]"
90,"[1700611200000, 2.3179]"
91,"[1700697600000, 2.39853]"
92,"[1700784000000, 2.42011]"
93,"[1700870400000, 2.3916]"
94,"[1700956800000, 2.36749]"
95,"[1701043200000, 2.38727]"
96,"[1701129600000, 2.44537]"
97,"[1701216000000, 2.43828]"
98,"[1701302400000, 2.40153]"
99,"[1701388800000, 2.39165]"
100,"[1701475200000, 2.38629]"
