,prices
0,"[1692662400000, 0.07517]"
1,"[1692748800000, 0.07554]"
2,"[1692835200000, 0.07766]"
3,"[1692921600000, 0.07653]"
4,"[1693008000000, 0.07718]"
5,"[1693094400000, 0.07743]"
6,"[1693180800000, 0.07751]"
7,"[1693267200000, 0.07632]"
8,"[1693353600000, 0.07734]"
9,"[1693440000000, 0.07561]"
10,"[1693526400000, 0.07667]"
11,"[1693612800000, 0.07604]"
12,"[1693699200000, 0.07699]"
13,"[1693785600000, 0.077]"
14,"[1693872000000, 0.07746]"
15,"[1693958400000, 0.07741]"
16,"[1694044800000, 0.07888]"
17,"[1694131200000, 0.07902]"
18,"[1694217600000, 0.07917]"
19,"[1694304000000, 0.07913]"
20,"[1694390400000, 0.07832]"
21,"[1694476800000, 0.07751]"
22,"[1694563200000, 0.08077]"
23,"[1694649600000, 0.08117]"
24,"[1694736000000, 0.08366]"
25,"[1694822400000, 0.08403]"
26,"[1694908800000, 0.08348]"
27,"[1694995200000, 0.08333]"
28,"[1695081600000, 0.084]"
29,"[1695168000000, 0.08455]"
30,"[1695254400000, 0.08443]"
31,"[1695340800000, 0.08305]"
32,"[1695427200000, 0.08338]"
33,"[1695513600000, 0.0836]"
34,"[1695600000000, 0.08354]"
35,"[1695686400000, 0.08465]"
36,"[1695772800000, 0.08471]"
37,"[1695859200000, 0.08546]"
38,"[1695945600000, 0.08673]"
39,"[1696032000000, 0.08906]"
40,"[1696118400000, 0.0886]"
41,"[1696204800000, 0.09015]"
42,"[1696291200000, 0.08759]"
43,"[1696377600000, 0.09079]"
44,"[1696464000000, 0.08899]"
45,"[1696550400000, 0.08826]"
46,"[1696636800000, 0.08727]"
47,"[1696723200000, 0.08815]"
48,"[1696809600000, 0.08803]"
49,"[1696896000000, 0.08613]"
50,"[1696982400000, 0.08627]"
51,"[1697068800000, 0.08599]"
52,"[1697155200000, 0.08483]"
53,"[1697241600000, 0.08543]"
54,"[1697328000000, 0.08506]"
55,"[1697414400000, 0.08667]"
56,"[1697500800000, 0.08894]"
57,"[1697587200000, 0.08859]"
58,"[1697673600000, 0.08917]"
59,"[1697760000000, 0.09004]"
60,"[1697846400000, 0.0907]"
61,"[1697932800000, 0.09158]"
62,"[1698019200000, 0.09047]"
63,"[1698105600000, 0.09222]"
64,"[1698192000000, 0.09238]"
65,"[1698278400000, 0.09348]"
66,"[1698364800000, 0.09286]"
67,"[1698451200000, 0.09358]"
68,"[1698537600000, 0.09433]"
69,"[1698624000000, 0.09489]"
70,"[1698710400000, 0.09561]"
71,"[1698796800000, 0.09723]"
72,"[1698883200000, 0.10024]"
73,"[1698969600000, 0.09928]"
74,"[1699056000000, 0.09726]"
75,"[1699142400000, 0.09772]"
76,"[1699228800000, 0.09817]"
77,"[1699315200000, 0.0977]"
78,"[1699401600000, 0.09662]"
79,"[1699488000000, 0.09841]"
80,"[1699574400000, 0.09899]"
81,"[1699660800000, 0.10627]"
82,"[1699747200000, 0.10808]"
83,"[1699833600000, 0.10847]"
84,"[1699920000000, 0.10698]"
85,"[1700006400000, 0.10213]"
86,"[1700092800000, 0.10413]"
87,"[1700179200000, 0.10242]"
88,"[1700265600000, 0.10361]"
89,"[1700352000000, 0.10297]"
90,"[1700438400000, 0.10338]"
91,"[1700524800000, 0.10093]"
92,"[1700611200000, 0.09631]"
93,"[1700697600000, 0.10127]"
94,"[1700784000000, 0.10212]"
95,"[1700870400000, 0.10466]"
96,"[1700956800000, 0.10872]"
97,"[1701043200000, 0.10784]"
98,"[1701129600000, 0.10219]"
99,"[1701216000000, 0.1029]"
100,"[1701302400000, 0.10343]"
101,"[1701388800000, 0.10345]"
102,"[1701475200000, 0.10319]"
103,"[1701561600000, 0.10321]"
104,"[1701648000000, 0.1031]"
105,"[1701734400000, 0.10379]"
106,"[1701820800000, 0.10359]"
107,"[1701907200000, 0.10476]"
108,"[1701993600000, 0.10415]"
109,"[1702080000000, 0.10677]"
110,"[1702166400000, 0.1066]"
111,"[1702252800000, 0.10779]"
112,"[1702339200000, 0.10374]"
113,"[1702425600000, 0.1036]"
114,"[1702512000000, 0.10431]"
115,"[1702598400000, 0.10605]"
116,"[1702684800000, 0.10143]"
117,"[1702771200000, 0.10275]"
118,"[1702857600000, 0.10212]"
119,"[1702944000000, 0.10096]"
120,"[1703030400000, 0.10055]"
121,"[1703116800000, 0.10285]"
122,"[1703203200000, 0.10451]"
123,"[1703289600000, 0.10511]"
124,"[1703376000000, 0.10675]"
125,"[1703462400000, 0.10623]"
126,"[1703548800000, 0.10594]"
127,"[1703635200000, 0.10298]"
128,"[1703721600000, 0.10528]"
129,"[1703808000000, 0.10549]"
130,"[1703894400000, 0.10578]"
131,"[1703980800000, 0.10602]"
132,"[1704067200000, 0.10763]"
133,"[1704153600000, 0.10777]"
134,"[1704240000000, 0.1085]"
135,"[1704326400000, 0.1068]"
136,"[1704412800000, 0.107]"
137,"[1704499200000, 0.1045]"
138,"[1704585600000, 0.10405]"
139,"[1704672000000, 0.10294]"
140,"[1704758400000, 0.10432]"
141,"[1704844800000, 0.10268]"
142,"[1704931200000, 0.10538]"
143,"[1705017600000, 0.10607]"
144,"[1705104000000, 0.10697]"
145,"[1705190400000, 0.1141]"
146,"[1705276800000, 0.11133]"
147,"[1705363200000, 0.1088]"
148,"[1705449600000, 0.10812]"
149,"[1705536000000, 0.10832]"
150,"[1705622400000, 0.10797]"
151,"[1705708800000, 0.11048]"
152,"[1705795200000, 0.10971]"
153,"[1705881600000, 0.1089]"
154,"[1705968000000, 0.10894]"
155,"[1706054400000, 0.10723]"
156,"[1706140800000, 0.10869]"
157,"[1706227200000, 0.11213]"
158,"[1706313600000, 0.11443]"
159,"[1706400000000, 0.11246]"
160,"[1706486400000, 0.1122]"
161,"[1706572800000, 0.11306]"
162,"[1706659200000, 0.11216]"
163,"[1706745600000, 0.1122]"
164,"[1706832000000, 0.11542]"
165,"[1706918400000, 0.11625]"
166,"[1707004800000, 0.1172]"
167,"[1707091200000, 0.11833]"
168,"[1707177600000, 0.11888]"
169,"[1707264000000, 0.12089]"
170,"[1707350400000, 0.12336]"
171,"[1707436800000, 0.1219]"
172,"[1707523200000, 0.12372]"
173,"[1707609600000, 0.12435]"
174,"[1707696000000, 0.12422]"
175,"[1707782400000, 0.12514]"
176,"[1707868800000, 0.12708]"
177,"[1707955200000, 0.12956]"
178,"[1708041600000, 0.13117]"
179,"[1708128000000, 0.13291]"
180,"[1708214400000, 0.13591]"
181,"[1708300800000, 0.13525]"
182,"[1708387200000, 0.13638]"
183,"[1708473600000, 0.13927]"
184,"[1708560000000, 0.13991]"
185,"[1708646400000, 0.13906]"
186,"[1708732800000, 0.13818]"
187,"[1708819200000, 0.13741]"
188,"[1708905600000, 0.13758]"
189,"[1708992000000, 0.13983]"
190,"[1709078400000, 0.14286]"
191,"[1709164800000, 0.1423]"
192,"[1709251200000, 0.14048]"
193,"[1709337600000, 0.14152]"
194,"[1709424000000, 0.1413]"
195,"[1709510400000, 0.14072]"
196,"[1709596800000, 0.14055]"
197,"[1709683200000, 0.13636]"
198,"[1709769600000, 0.13787]"
199,"[1709856000000, 0.13713]"
200,"[1709942400000, 0.13701]"
201,"[1710028800000, 0.13608]"
202,"[1710115200000, 0.13393]"
203,"[1710201600000, 0.13368]"
204,"[1710288000000, 0.1314]"
205,"[1710374400000, 0.13197]"
206,"[1710460800000, 0.1289]"
207,"[1710547200000, 0.12626]"
208,"[1710633600000, 0.12488]"
209,"[1710720000000, 0.12657]"
210,"[1710806400000, 0.12399]"
211,"[1710892800000, 0.11248]"
212,"[1710979200000, 0.12087]"
213,"[1711065600000, 0.12106]"
214,"[1711152000000, 0.11719]"
215,"[1711238400000, 0.11852]"
216,"[1711324800000, 0.12018]"
217,"[1711411200000, 0.12043]"
218,"[1711497600000, 0.12086]"
