,prices
0,"[1692662400000, 0.99932]"
1,"[1692748800000, 0.9998]"
2,"[1692835200000, 1.00029]"
3,"[1692921600000, 0.999]"
4,"[1693008000000, 1.00038]"
5,"[1693094400000, 1.00003]"
6,"[1693180800000, 0.99986]"
7,"[1693267200000, 1.00021]"
8,"[1693353600000, 0.99976]"
9,"[1693440000000, 0.99976]"
10,"[1693526400000, 0.99925]"
11,"[1693612800000, 1.00144]"
12,"[1693699200000, 0.99989]"
13,"[1693785600000, 0.99977]"
14,"[1693872000000, 1.00019]"
15,"[1693958400000, 0.99976]"
16,"[1694044800000, 0.99973]"
17,"[1694131200000, 1.00064]"
18,"[1694217600000, 1.00017]"
19,"[1694304000000, 0.99978]"
20,"[1694390400000, 0.99974]"
21,"[1694476800000, 1.00024]"
22,"[1694563200000, 1.0004]"
23,"[1694649600000, 0.99994]"
24,"[1694736000000, 1.00013]"
25,"[1694822400000, 0.99912]"
26,"[1694908800000, 0.99957]"
27,"[1694995200000, 1.00027]"
28,"[1695081600000, 0.99953]"
29,"[1695168000000, 0.9997]"
30,"[1695254400000, 0.99942]"
31,"[1695340800000, 0.99959]"
32,"[1695427200000, 0.99995]"
33,"[1695513600000, 0.99978]"
34,"[1695600000000, 0.99973]"
35,"[1695686400000, 0.99999]"
36,"[1695772800000, 0.99961]"
37,"[1695859200000, 1.0002]"
38,"[1695945600000, 0.99959]"
39,"[1696032000000, 0.99997]"
40,"[1696118400000, 1.00006]"
41,"[1696204800000, 1.00078]"
42,"[1696291200000, 1.00073]"
43,"[1696377600000, 0.9999]"
44,"[1696464000000, 0.99976]"
45,"[1696550400000, 1.0004]"
46,"[1696636800000, 1.00016]"
47,"[1696723200000, 1.00019]"
48,"[1696809600000, 1.00029]"
49,"[1696896000000, 1.00001]"
50,"[1696982400000, 0.99981]"
51,"[1697068800000, 1.00009]"
52,"[1697155200000, 0.9994]"
53,"[1697241600000, 1.00006]"
54,"[1697328000000, 1.00011]"
55,"[1697414400000, 1.00003]"
56,"[1697500800000, 0.99973]"
57,"[1697587200000, 0.99982]"
58,"[1697673600000, 0.99996]"
59,"[1697760000000, 1.00123]"
60,"[1697846400000, 0.99887]"
61,"[1697932800000, 1.00093]"
62,"[1698019200000, 1.00062]"
63,"[1698105600000, 1.00037]"
64,"[1698192000000, 1.00077]"
65,"[1698278400000, 1.00004]"
66,"[1698364800000, 1.00035]"
67,"[1698451200000, 0.99985]"
68,"[1698537600000, 1.00008]"
69,"[1698624000000, 1.00239]"
70,"[1698710400000, 1.00008]"
71,"[1698796800000, 1.00038]"
72,"[1698883200000, 1.00028]"
73,"[1698969600000, 1.00088]"
74,"[1699056000000, 1.00001]"
75,"[1699142400000, 1.00014]"
76,"[1699228800000, 0.99939]"
77,"[1699315200000, 0.99977]"
78,"[1699401600000, 1.00051]"
79,"[1699488000000, 1.00018]"
