,prices
0,"[1692662400000, 1667.01518]"
1,"[1692748800000, 1633.23825]"
2,"[1692835200000, 1675.70484]"
3,"[1692921600000, 1658.01335]"
4,"[1693008000000, 1652.78881]"
5,"[1693094400000, 1645.82315]"
6,"[1693180800000, 1658.52855]"
7,"[1693267200000, 1655.3563]"
8,"[1693353600000, 1730.02542]"
9,"[1693440000000, 1708.10121]"
10,"[1693526400000, 1643.79614]"
11,"[1693612800000, 1629.10296]"
12,"[1693699200000, 1637.58089]"
13,"[1693785600000, 1635.76674]"
14,"[1693872000000, 1628.11488]"
15,"[1693958400000, 1631.81122]"
16,"[1694044800000, 1631.91854]"
17,"[1694131200000, 1643.77431]"
18,"[1694217600000, 1636.4325]"
19,"[1694304000000, 1634.3656]"
20,"[1694390400000, 1618.3418]"
21,"[1694476800000, 1549.95822]"
22,"[1694563200000, 1591.6486]"
23,"[1694649600000, 1604.52761]"
24,"[1694736000000, 1626.42054]"
25,"[1694822400000, 1641.67021]"
26,"[1694908800000, 1635.26602]"
27,"[1694995200000, 1621.92503]"
28,"[1695081600000, 1636.932]"
29,"[1695168000000, 1642.51016]"
30,"[1695254400000, 1621.62976]"
31,"[1695340800000, 1584.17666]"
32,"[1695427200000, 1593.85448]"
33,"[1695513600000, 1594.0938]"
34,"[1695600000000, 1578.97046]"
35,"[1695686400000, 1587.34315]"
36,"[1695772800000, 1591.63084]"
37,"[1695859200000, 1597.65703]"
38,"[1695945600000, 1650.95193]"
39,"[1696032000000, 1666.48283]"
40,"[1696118400000, 1670.78967]"
41,"[1696204800000, 1733.55261]"
42,"[1696291200000, 1663.00602]"
43,"[1696377600000, 1650.53801]"
44,"[1696464000000, 1647.89285]"
45,"[1696550400000, 1613.20846]"
46,"[1696636800000, 1645.17704]"
47,"[1696723200000, 1633.18811]"
48,"[1696809600000, 1632.42494]"
49,"[1696896000000, 1580.51031]"
50,"[1696982400000, 1566.68491]"
51,"[1697068800000, 1564.30988]"
52,"[1697155200000, 1535.20749]"
53,"[1697241600000, 1550.11164]"
54,"[1697328000000, 1555.34319]"
55,"[1697414400000, 1555.76718]"
56,"[1697500800000, 1592.70131]"
57,"[1697587200000, 1563.15148]"
58,"[1697673600000, 1561.35085]"
59,"[1697760000000, 1566.89062]"
60,"[1697846400000, 1604.42755]"
61,"[1697932800000, 1628.66911]"
62,"[1698019200000, 1662.93903]"
63,"[1698105600000, 1762.97271]"
64,"[1698192000000, 1782.8795]"
65,"[1698278400000, 1785.65348]"
66,"[1698364800000, 1803.21815]"
67,"[1698451200000, 1779.96625]"
68,"[1698537600000, 1775.55671]"
69,"[1698624000000, 1796.28371]"
70,"[1698710400000, 1809.16183]"
71,"[1698796800000, 1813.25351]"
72,"[1698883200000, 1844.6355]"
73,"[1698969600000, 1800.69075]"
74,"[1699056000000, 1832.42702]"
75,"[1699142400000, 1857.70551]"
76,"[1699228800000, 1894.07373]"
77,"[1699315200000, 1897.50291]"
78,"[1699401600000, 1884.63102]"
79,"[1699488000000, 1891.69546]"
80,"[1699574400000, 2122.18345]"
81,"[1699660800000, 2078.85911]"
82,"[1699747200000, 2049.22749]"
83,"[1699833600000, 2045.53679]"
84,"[1699920000000, 2062.68277]"
85,"[1700006400000, 1980.00888]"
86,"[1700092800000, 2057.4159]"
87,"[1700179200000, 1959.34265]"
88,"[1700265600000, 1952.15916]"
89,"[1700352000000, 1962.63382]"
90,"[1700438400000, 2009.05908]"
91,"[1700524800000, 2022.32281]"
92,"[1700611200000, 1942.79434]"
93,"[1700697600000, 2064.81218]"
94,"[1700784000000, 2061.99255]"
95,"[1700870400000, 2079.67046]"
96,"[1700956800000, 2082.53595]"
97,"[1701043200000, 2065.32746]"
98,"[1701129600000, 2025.02065]"
99,"[1701216000000, 2049.40409]"
100,"[1701302400000, 2027.07858]"
101,"[1701388800000, 2051.00032]"
102,"[1701475200000, 2085.87369]"
103,"[1701561600000, 2164.00202]"
104,"[1701648000000, 2189.56936]"
105,"[1701734400000, 2234.96976]"
106,"[1701820800000, 2287.68759]"
107,"[1701907200000, 2230.30482]"
108,"[1701993600000, 2354.97332]"
109,"[1702080000000, 2359.36779]"
110,"[1702166400000, 2343.20596]"
111,"[1702252800000, 2343.54051]"
112,"[1702339200000, 2223.44749]"
113,"[1702425600000, 2196.14669]"
114,"[1702512000000, 2253.75968]"
115,"[1702598400000, 2319.59034]"
116,"[1702684800000, 2227.25515]"
117,"[1702771200000, 2229.11735]"
118,"[1702857600000, 2200.22075]"
119,"[1702944000000, 2221.79277]"
120,"[1703030400000, 2187.25795]"
121,"[1703116800000, 2184.75932]"
122,"[1703203200000, 2230.50687]"
123,"[1703289600000, 2311.16041]"
124,"[1703376000000, 2304.42329]"
125,"[1703462400000, 2263.64622]"
126,"[1703548800000, 2271.09582]"
127,"[1703635200000, 2224.46798]"
128,"[1703721600000, 2375.14594]"
129,"[1703808000000, 2347.85393]"
130,"[1703894400000, 2292.30435]"
131,"[1703980800000, 2287.36067]"
132,"[1704067200000, 2274.51632]"
133,"[1704153600000, 2338.19074]"
134,"[1704240000000, 2351.58402]"
135,"[1704326400000, 2202.98935]"
136,"[1704412800000, 2278.5968]"
137,"[1704499200000, 2265.85063]"
138,"[1704585600000, 2239.6657]"
139,"[1704672000000, 2219.71914]"
140,"[1704758400000, 2316.45767]"
141,"[1704844800000, 2331.0374]"
142,"[1704931200000, 2593.13743]"
143,"[1705017600000, 2614.67761]"
144,"[1705104000000, 2510.38146]"
145,"[1705190400000, 2570.43636]"
146,"[1705276800000, 2483.19902]"
147,"[1705363200000, 2527.80907]"
148,"[1705449600000, 2593.85703]"
149,"[1705536000000, 2517.72676]"
150,"[1705622400000, 2458.96937]"
151,"[1705708800000, 2486.30185]"
152,"[1705795200000, 2468.11491]"
153,"[1705881600000, 2474.71891]"
154,"[1705968000000, 2308.78265]"
155,"[1706054400000, 2244.0823]"
156,"[1706140800000, 2227.36251]"
157,"[1706227200000, 2211.5863]"
158,"[1706313600000, 2261.81231]"
159,"[1706400000000, 2265.86025]"
160,"[1706486400000, 2255.18704]"
161,"[1706572800000, 2311.48395]"
162,"[1706659200000, 2365.51776]"
163,"[1706745600000, 2269.08897]"
