,prices
0,"[1692748800000, 25993.90796]"
1,"[1692835200000, 26485.96627]"
2,"[1692921600000, 26149.45717]"
3,"[1693008000000, 26037.47924]"
4,"[1693094400000, 26018.22807]"
5,"[1693180800000, 26100.77682]"
6,"[1693267200000, 26082.54861]"
7,"[1693353600000, 27739.48322]"
8,"[1693440000000, 27308.17058]"
9,"[1693526400000, 25963.67521]"
10,"[1693612800000, 25842.63916]"
11,"[1693699200000, 25863.43703]"
12,"[1693785600000, 25960.9144]"
13,"[1693872000000, 25850.32014]"
14,"[1693958400000, 25773.66553]"
15,"[1694044800000, 25746.6521]"
16,"[1694131200000, 26182.9363]"
17,"[1694217600000, 25928.13442]"
18,"[1694304000000, 25906.08004]"
19,"[1694390400000, 25828.30263]"
20,"[1694476800000, 25147.75973]"
21,"[1694563200000, 25876.33292]"
22,"[1694649600000, 26239.93398]"
23,"[1694736000000, 26545.38304]"
24,"[1694822400000, 26658.91143]"
25,"[1694908800000, 26562.51689]"
26,"[1694995200000, 26507.85865]"
27,"[1695081600000, 26747.57147]"
28,"[1695168000000, 27175.42317]"
29,"[1695254400000, 27092.78505]"
30,"[1695340800000, 26519.50645]"
31,"[1695427200000, 26547.76578]"
32,"[1695513600000, 26610.81906]"
33,"[1695600000000, 26237.9921]"
34,"[1695686400000, 26265.06004]"
35,"[1695772800000, 26222.63113]"
36,"[1695859200000, 26341.8705]"
37,"[1695945600000, 27044.59856]"
38,"[1696032000000, 26876.18738]"
39,"[1696118400000, 26873.07772]"
40,"[1696204800000, 27953.31282]"
41,"[1696291200000, 27608.96148]"
42,"[1696377600000, 27388.30765]"
43,"[1696464000000, 27785.78533]"
44,"[1696550400000, 27496.15918]"
45,"[1696636800000, 28004.25943]"
46,"[1696723200000, 27933.20317]"
47,"[1696809600000, 27988.81105]"
48,"[1696896000000, 27577.75393]"
49,"[1696982400000, 27395.95063]"
50,"[1697068800000, 26786.482]"
51,"[1697155200000, 26785.54814]"
52,"[1697241600000, 26866.19559]"
53,"[1697328000000, 26849.77064]"
54,"[1697414400000, 27141.65455]"
55,"[1697500800000, 28486.24708]"
56,"[1697587200000, 28424.4153]"
57,"[1697673600000, 28289.13018]"
58,"[1697760000000, 28773.08618]"
59,"[1697846400000, 29690.82414]"
60,"[1697932800000, 29961.15149]"
61,"[1698019200000, 30007.74317]"
62,"[1698105600000, 32931.74229]"
63,"[1698192000000, 33849.14318]"
64,"[1698278400000, 34461.90312]"
65,"[1698364800000, 34164.50653]"
66,"[1698451200000, 33869.60924]"
67,"[1698537600000, 34065.35804]"
68,"[1698624000000, 34505.90554]"
69,"[1698710400000, 34538.77264]"
70,"[1698796800000, 34679.43137]"
71,"[1698883200000, 35403.92689]"
72,"[1698969600000, 34908.30871]"
73,"[1699056000000, 34707.94416]"
74,"[1699142400000, 35036.57458]"
75,"[1699228800000, 35037.9111]"
76,"[1699315200000, 34985.55103]"
77,"[1699401600000, 35342.05816]"
78,"[1699488000000, 35846.46343]"
79,"[1699574400000, 36812.79521]"
80,"[1699660800000, 37304.46978]"
81,"[1699747200000, 37070.18572]"
82,"[1699833600000, 37130.57027]"
83,"[1699920000000, 36474.46665]"
84,"[1700006400000, 35433.85709]"
85,"[1700092800000, 37859.46187]"
86,"[1700179200000, 36148.70417]"
87,"[1700265600000, 36509.45291]"
88,"[1700352000000, 36523.61315]"
89,"[1700438400000, 37353.57754]"
90,"[1700524800000, 37412.5128]"
91,"[1700611200000, 35924.39016]"
92,"[1700697600000, 37392.18226]"
93,"[1700784000000, 37207.94844]"
94,"[1700870400000, 37725.32491]"
95,"[1700956800000, 37737.85298]"
96,"[1701043200000, 37454.92006]"
97,"[1701129600000, 37219.76736]"
98,"[1701216000000, 37729.96134]"
99,"[1701302400000, 37770.02879]"
100,"[1701388800000, 37743.28984]"
101,"[1701475200000, 38665.4401]"
102,"[1701561600000, 39437.568]"
103,"[1701648000000, 39888.40988]"
104,"[1701734400000, 41907.71428]"
105,"[1701820800000, 43962.33277]"
106,"[1701907200000, 43615.24187]"
107,"[1701993600000, 43285.48915]"
108,"[1702080000000, 44211.19438]"
109,"[1702166400000, 43537.88418]"
110,"[1702252800000, 43730.53021]"
111,"[1702339200000, 41202.00927]"
112,"[1702425600000, 41446.62856]"
113,"[1702512000000, 42925.63874]"
114,"[1702598400000, 42961.03834]"
115,"[1702684800000, 41823.42464]"
116,"[1702771200000, 42128.66007]"
117,"[1702857600000, 41393.50503]"
118,"[1702944000000, 42451.01045]"
119,"[1703030400000, 42191.19111]"
120,"[1703116800000, 43568.2537]"
121,"[1703203200000, 43761.07704]"
122,"[1703289600000, 44014.31485]"
123,"[1703376000000, 43728.13012]"
124,"[1703462400000, 43007.39955]"
125,"[1703548800000, 43562.12913]"
126,"[1703635200000, 42450.43041]"
127,"[1703721600000, 43498.10516]"
