,prices
0,"[1692835200000, 1908.88009]"
1,"[1692921600000, 1886.49061]"
2,"[1693008000000, 1879.74347]"
3,"[1693094400000, 1871.19458]"
4,"[1693180800000, 1883.62911]"
5,"[1693267200000, 1879.48039]"
6,"[1693353600000, 1967.21505]"
7,"[1693440000000, 1940.28956]"
8,"[1693526400000, 1870.16419]"
9,"[1693612800000, 1855.39589]"
10,"[1693699200000, 1862.2065]"
11,"[1693785600000, 1861.2965]"
12,"[1693872000000, 1854.87209]"
13,"[1693958400000, 1857.16126]"
14,"[1694044800000, 1856.99674]"
15,"[1694131200000, 1873.08446]"
16,"[1694217600000, 1862.69325]"
17,"[1694304000000, 1860.79552]"
18,"[1694390400000, 1842.54228]"
19,"[1694476800000, 1764.58157]"
20,"[1694563200000, 1815.78537]"
21,"[1694649600000, 1831.49442]"
22,"[1694736000000, 1852.51804]"
23,"[1694822400000, 1871.20975]"
24,"[1694908800000, 1863.98633]"
25,"[1694995200000, 1848.75548]"
26,"[1695081600000, 1865.98062]"
27,"[1695168000000, 1870.56345]"
28,"[1695254400000, 1848.53032]"
29,"[1695340800000, 1806.96249]"
30,"[1695427200000, 1817.4468]"
31,"[1695513600000, 1817.30669]"
32,"[1695600000000, 1799.26118]"
33,"[1695686400000, 1810.0628]"
34,"[1695772800000, 1814.47806]"
35,"[1695859200000, 1822.60403]"
36,"[1695945600000, 1880.07197]"
37,"[1696032000000, 1901.86138]"
38,"[1696118400000, 1910.36545]"
39,"[1696204800000, 1975.16314]"
40,"[1696291200000, 1889.42437]"
41,"[1696377600000, 1884.98779]"
42,"[1696464000000, 1881.03066]"
43,"[1696550400000, 1840.65819]"
44,"[1696636800000, 1877.81082]"
45,"[1696723200000, 1863.89204]"
46,"[1696809600000, 1861.53359]"
47,"[1696896000000, 1804.12488]"
48,"[1696982400000, 1790.27672]"
49,"[1697068800000, 1788.17916]"
50,"[1697155200000, 1753.54871]"
51,"[1697241600000, 1769.8908]"
52,"[1697328000000, 1777.17395]"
53,"[1697414400000, 1775.91887]"
54,"[1697500800000, 1818.03086]"
55,"[1697587200000, 1785.50439]"
56,"[1697673600000, 1783.49084]"
57,"[1697760000000, 1790.10942]"
58,"[1697846400000, 1834.26692]"
59,"[1697932800000, 1861.70316]"
60,"[1698019200000, 1900.01422]"
61,"[1698105600000, 2015.79761]"
62,"[1698192000000, 2042.02957]"
63,"[1698278400000, 2040.31505]"
64,"[1698364800000, 2060.0225]"
65,"[1698451200000, 2035.67123]"
66,"[1698537600000, 2031.08574]"
67,"[1698624000000, 2057.02598]"
68,"[1698710400000, 2070.57809]"
69,"[1698796800000, 2070.46707]"
70,"[1698883200000, 2111.62966]"
71,"[1698969600000, 2061.61674]"
72,"[1699056000000, 2095.24069]"
73,"[1699142400000, 2131.38902]"
74,"[1699228800000, 2168.39415]"
75,"[1699315200000, 2176.64663]"
76,"[1699401600000, 2155.65022]"
77,"[1699488000000, 2164.98716]"
78,"[1699574400000, 2428.71468]"
79,"[1699660800000, 2383.54815]"
80,"[1699747200000, 2346.44839]"
81,"[1699833600000, 2343.78983]"
82,"[1699920000000, 2361.11395]"
83,"[1700006400000, 2270.83414]"
84,"[1700092800000, 2355.11933]"
85,"[1700179200000, 2244.15868]"
86,"[1700265600000, 2235.29637]"
87,"[1700352000000, 2248.64401]"
88,"[1700438400000, 2297.68772]"
89,"[1700524800000, 2320.46883]"
90,"[1700611200000, 2232.20731]"
91,"[1700697600000, 2366.5872]"
92,"[1700784000000, 2365.26966]"
93,"[1700870400000, 2384.49007]"
94,"[1700956800000, 2388.53497]"
95,"[1701043200000, 2370.72439]"
96,"[1701129600000, 2321.19517]"
97,"[1701216000000, 2356.5109]"
98,"[1701302400000, 2328.11597]"
99,"[1701388800000, 2348.73201]"
100,"[1701475200000, 2397.55185]"
101,"[1701561600000, 2483.46513]"
102,"[1701648000000, 2512.78888]"
103,"[1701734400000, 2558.44408]"
104,"[1701820800000, 2624.66433]"
105,"[1701907200000, 2556.42705]"
106,"[1701993600000, 2713.95921]"
107,"[1702080000000, 2708.12993]"
108,"[1702166400000, 2690.83702]"
109,"[1702252800000, 2694.51456]"
110,"[1702339200000, 2554.22326]"
111,"[1702425600000, 2522.86641]"
112,"[1702512000000, 2592.02277]"
113,"[1702598400000, 2666.24417]"
114,"[1702684800000, 2555.65691]"
115,"[1702771200000, 2562.32776]"
116,"[1702857600000, 2529.79411]"
117,"[1702944000000, 2551.44478]"
118,"[1703030400000, 2513.74164]"
119,"[1703116800000, 2513.46554]"
120,"[1703203200000, 2569.62536]"
121,"[1703289600000, 2659.89306]"
122,"[1703376000000, 2650.48927]"
123,"[1703462400000, 2602.8514]"
124,"[1703548800000, 2613.52082]"
125,"[1703635200000, 2560.45566]"
126,"[1703721600000, 2729.1624]"
127,"[1703808000000, 2699.73639]"
128,"[1703894400000, 2640.16407]"
129,"[1703980800000, 2633.96328]"
130,"[1704067200000, 2618.72669]"
131,"[1704153600000, 2698.30562]"
132,"[1704240000000, 2714.20707]"
133,"[1704326400000, 2538.4232]"
134,"[1704412800000, 2613.38909]"
135,"[1704499200000, 2608.622]"
136,"[1704585600000, 2579.95109]"
137,"[1704672000000, 2558.05185]"
138,"[1704758400000, 2680.57356]"
139,"[1704844800000, 2687.41858]"
140,"[1704931200000, 2989.80586]"
141,"[1705017600000, 3015.52306]"
142,"[1705104000000, 2895.96059]"
143,"[1705190400000, 2967.47704]"
144,"[1705276800000, 2864.8856]"
145,"[1705363200000, 2912.72851]"
146,"[1705449600000, 2990.31781]"
147,"[1705536000000, 2906.71103]"
148,"[1705622400000, 2838.80938]"
149,"[1705708800000, 2870.20184]"
150,"[1705795200000, 2846.39667]"
151,"[1705881600000, 2832.88492]"
152,"[1705968000000, 2665.52915]"
153,"[1706054400000, 2589.15372]"
